,county,count,month,year,state
1,AUTAUGA,37201,January,2017,AL
2,BALDWIN,137133,January,2017,AL
3,BARBOUR,16289,January,2017,AL
4,BIBB,13273,January,2017,AL
5,BLOUNT,37251,January,2017,AL
6,BULLOCK,7212,January,2017,AL
7,BUTLER,13077,January,2017,AL
8,CALHOUN,72992,January,2017,AL
9,CHAMBERS,22790,January,2017,AL
10,CHEROKEE,16652,January,2017,AL
11,CHILTON,27792,January,2017,AL
12,CHOCTAW,9904,January,2017,AL
13,CLARKE,18831,January,2017,AL
14,CLAY,9568,January,2017,AL
15,CLEBURNE,9928,January,2017,AL
16,COFFEE,31959,January,2017,AL
17,COLBERT,37729,January,2017,AL
18,CONECUH,10240,January,2017,AL
19,COOSA,7941,January,2017,AL
20,COVINGTON,25006,January,2017,AL
21,CRENSHAW,9743,January,2017,AL
22,CULLMAN,54255,January,2017,AL
23,DALE,30640,January,2017,AL
24,DALLAS,30651,January,2017,AL
25,DEKALB,39134,January,2017,AL
26,ELMORE,53146,January,2017,AL
27,ESCAMBIA,23687,January,2017,AL
28,ETOWAH,67493,January,2017,AL
29,FAYETTE,11945,January,2017,AL
30,FRANKLIN,18483,January,2017,AL
31,GENEVA,17544,January,2017,AL
32,GREENE,7130,January,2017,AL
33,HALE,12121,January,2017,AL
34,HENRY,12357,January,2017,AL
35,HOUSTON,67097,January,2017,AL
36,JACKSON,36167,January,2017,AL
37,JEFFERSON,449262,January,2017,AL
38,LAMAR,10634,January,2017,AL
39,LAUDERDALE,59869,January,2017,AL
40,LAWRENCE,23142,January,2017,AL
41,LEE,99908,January,2017,AL
42,LIMESTONE,56646,January,2017,AL
43,LOWNDES,9855,January,2017,AL
44,MACON,17336,January,2017,AL
45,MADISON,239820,January,2017,AL
46,MARENGO,15430,January,2017,AL
47,MARION,19824,January,2017,AL
48,MARSHALL,54580,January,2017,AL
49,MOBILE,277328,January,2017,AL
50,MONROE,15981,January,2017,AL
51,MONTGOMERY,146903,January,2017,AL
52,MORGAN,74279,January,2017,AL
53,PERRY,8120,January,2017,AL
54,PICKENS,13544,January,2017,AL
55,PIKE,20337,January,2017,AL
56,RANDOLPH,16175,January,2017,AL
57,RUSSELL,34379,January,2017,AL
58,SHELBY,136772,January,2017,AL
59,ST_CLAIR,57570,January,2017,AL
60,SUMTER,9010,January,2017,AL
61,TALLADEGA,50811,January,2017,AL
62,TALLAPOOSA,28371,January,2017,AL
63,TUSCALOOSA,122988,January,2017,AL
64,WALKER,45523,January,2017,AL
65,WASHINGTON,12573,January,2017,AL
66,WILCOX,8908,January,2017,AL
67,WINSTON,15503,January,2017,AL
68,AUTAUGA,37306,February,2017,AL
69,BALDWIN,137566,February,2017,AL
70,BARBOUR,16320,February,2017,AL
71,BIBB,13304,February,2017,AL
72,BLOUNT,37283,February,2017,AL
73,BULLOCK,7200,February,2017,AL
74,BUTLER,13095,February,2017,AL
75,CALHOUN,73025,February,2017,AL
76,CHAMBERS,22822,February,2017,AL
77,CHEROKEE,16683,February,2017,AL
78,CHILTON,27825,February,2017,AL
79,CHOCTAW,9843,February,2017,AL
80,CLARKE,18852,February,2017,AL
81,CLAY,9580,February,2017,AL
82,CLEBURNE,9959,February,2017,AL
83,COFFEE,32036,February,2017,AL
84,COLBERT,37803,February,2017,AL
85,CONECUH,10256,February,2017,AL
86,COOSA,7933,February,2017,AL
87,COVINGTON,25082,February,2017,AL
88,CRENSHAW,9747,February,2017,AL
89,CULLMAN,54378,February,2017,AL
90,DALE,30693,February,2017,AL
91,DALLAS,30558,February,2017,AL
92,DEKALB,39223,February,2017,AL
93,ELMORE,53168,February,2017,AL
94,ESCAMBIA,23757,February,2017,AL
95,ETOWAH,67644,February,2017,AL
96,FAYETTE,11948,February,2017,AL
97,FRANKLIN,18489,February,2017,AL
98,GENEVA,17607,February,2017,AL
99,GREENE,7110,February,2017,AL
100,HALE,12130,February,2017,AL
101,HENRY,12354,February,2017,AL
102,HOUSTON,67313,February,2017,AL
103,JACKSON,36239,February,2017,AL
104,JEFFERSON,449722,February,2017,AL
105,LAMAR,10627,February,2017,AL
106,LAUDERDALE,59966,February,2017,AL
107,LAWRENCE,23220,February,2017,AL
108,LEE,100232,February,2017,AL
109,LIMESTONE,56791,February,2017,AL
110,LOWNDES,9836,February,2017,AL
111,MACON,17343,February,2017,AL
112,MADISON,240246,February,2017,AL
113,MARENGO,15439,February,2017,AL
114,MARION,19789,February,2017,AL
115,MARSHALL,54744,February,2017,AL
116,MOBILE,277370,February,2017,AL
117,MONROE,15938,February,2017,AL
118,MONTGOMERY,145125,February,2017,AL
119,MORGAN,74433,February,2017,AL
120,PERRY,8114,February,2017,AL
121,PICKENS,13524,February,2017,AL
122,PIKE,20395,February,2017,AL
123,RANDOLPH,16120,February,2017,AL
124,RUSSELL,34550,February,2017,AL
125,SHELBY,137159,February,2017,AL
126,ST_CLAIR,57812,February,2017,AL
127,SUMTER,9017,February,2017,AL
128,TALLADEGA,50874,February,2017,AL
129,TALLAPOOSA,28410,February,2017,AL
