"","county","count","month","year","state"
"1","ALACHUA","172766","January","2018","FL"
"2","BAKER","15345","January","2018","FL"
"3","BAY","116880","January","2018","FL"
"4","BRADFORD","16069","January","2018","FL"
"5","BREVARD","408631","January","2018","FL"
"6","BROWARD","1183169","January","2018","FL"
"7","CALHOUN","8621","January","2018","FL"
"8","CHARLOTTE","129771","January","2018","FL"
"9","CITRUS","105395","January","2018","FL"
"10","CLAY","149375","January","2018","FL"
"11","COLLIER","201799","January","2018","FL"
"12","COLUMBIA","38853","January","2018","FL"
"13","DESOTO","16392","January","2018","FL"
"14","DIXIE","9503","January","2018","FL"
"15","DUVAL","581112","January","2018","FL"
"16","ESCAMBIA","205220","January","2018","FL"
"17","FLAGLER","79415","January","2018","FL"
"18","FRANKLIN","7634","January","2018","FL"
"19","GADSDEN","29645","January","2018","FL"
"20","GILCHRIST","11436","January","2018","FL"
"21","GLADES","6684","January","2018","FL"
"22","GULF","9857","January","2018","FL"
"23","HAMILTON","7634","January","2018","FL"
"24","HARDEE","11965","January","2018","FL"
"25","HENDRY","17294","January","2018","FL"
"26","HERNANDO","130682","January","2018","FL"
"27","HIGHLANDS","58002","January","2018","FL"
"28","HILLSBOROUGH","826575","January","2018","FL"
"29","HOLMES","10477","January","2018","FL"
"30","INDIAN RIVER","109610","January","2018","FL"
"31","JACKSON","27270","January","2018","FL"
"32","JEFFERSON","9542","January","2018","FL"
"33","LAFAYETTE","4295","January","2018","FL"
"34","LAKE","225351","January","2018","FL"
"35","LEE","435930","January","2018","FL"
"36","LEON","205889","January","2018","FL"
"37","LEVY","27093","January","2018","FL"
"38","LIBERTY","4300","January","2018","FL"
"39","MADISON","11681","January","2018","FL"
"40","MANATEE","234732","January","2018","FL"
"41","MARION","233882","January","2018","FL"
"42","MARTIN","111572","January","2018","FL"
"43","MIAMI-DADE","1377525","January","2018","FL"
"44","MONROE","54906","January","2018","FL"
"45","NASSAU","64618","January","2018","FL"
"46","OKALOOSA","129766","January","2018","FL"
"47","OKEECHOBEE","19919","January","2018","FL"
"48","ORANGE","807296","January","2018","FL"
"49","OSCEOLA","204786","January","2018","FL"
"50","PALM BEACH","915051","January","2018","FL"
"51","PASCO","336804","January","2018","FL"
"52","PINELLAS","642367","January","2018","FL"
"53","POLK","400773","January","2018","FL"
"54","PUTNAM","46278","January","2018","FL"
"55","SANTA ROSA","128001","January","2018","FL"
"56","SARASOTA","307272","January","2018","FL"
"57","SEMINOLE","287338","January","2018","FL"
"58","ST. JOHNS","179151","January","2018","FL"
"59","ST. LUCIE","195510","January","2018","FL"
"60","SUMTER","92635","January","2018","FL"
"61","SUWANNEE","25246","January","2018","FL"
"62","TAYLOR","12263","January","2018","FL"
"63","UNION","7210","January","2018","FL"
"64","VOLUSIA","367454","January","2018","FL"
"65","WAKULLA","20027","January","2018","FL"
"66","WALTON","47901","January","2018","FL"
"67","WASHINGTON","15639","January","2018","FL"
"68","ALACHUA","173114","February","2018","FL"
"69","BAKER","15198","February","2018","FL"
"70","BAY","117340","February","2018","FL"
"71","BRADFORD","16116","February","2018","FL"
"72","BREVARD","409497","February","2018","FL"
"73","BROWARD","1184036","February","2018","FL"
"74","CALHOUN","8609","February","2018","FL"
"75","CHARLOTTE","130268","February","2018","FL"
"76","CITRUS","105938","February","2018","FL"
"77","CLAY","149606","February","2018","FL"
"78","COLLIER","202985","February","2018","FL"
"79","COLUMBIA","38929","February","2018","FL"
"80","DESOTO","16437","February","2018","FL"
"81","DIXIE","9497","February","2018","FL"
"82","DUVAL","582273","February","2018","FL"
"83","ESCAMBIA","205667","February","2018","FL"
"84","FLAGLER","79821","February","2018","FL"
"85","FRANKLIN","7658","February","2018","FL"
