"","county","count","month","year","state"
"1","Allamakee","9600","April","2017","IA"
"2","Appanoose","8421","April","2017","IA"
"3","Audubon","4247","April","2017","IA"
"4","Benton","17390","April","2017","IA"
"5","Black Hawk","84011","April","2017","IA"
"6","Boone","18305","April","2017","IA"
"7","Bremer","16796","April","2017","IA"
"8","Buchanan","13404","April","2017","IA"
"9","Buena Vista","11880","April","2017","IA"
"10","Butler","9837","April","2017","IA"
"11","Calhoun","6555","April","2017","IA"
"12","Carroll","14150","April","2017","IA"
"13","Cass","9282","April","2017","IA"
"14","Cedar","11961","April","2017","IA"
"15","Cerro Gordo","30031","April","2017","IA"
"16","Cherokee","8074","April","2017","IA"
"17","Chickasaw","8451","April","2017","IA"
"18","Clarke","5711","April","2017","IA"
"19","Clay","11281","April","2017","IA"
"20","Clayton","11710","April","2017","IA"
"21","Clinton","31493","April","2017","IA"
"22","Crawford","9519","April","2017","IA"
"23","Dallas","53702","April","2017","IA"
"24","Davis","4938","April","2017","IA"
"25","Decatur","4811","April","2017","IA"
"26","Delaware","11531","April","2017","IA"
"27","Des Moines","26358","April","2017","IA"
"28","Dickinson","12756","April","2017","IA"
"29","Dubuque","64970","April","2017","IA"
"30","Emmet","6486","April","2017","IA"
"31","Fayette","12139","April","2017","IA"
"32","Floyd","10544","April","2017","IA"
"33","Franklin","6530","April","2017","IA"
"34","Fremont","4895","April","2017","IA"
"35","Greene","6309","April","2017","IA"
"36","Grundy","8645","April","2017","IA"
"37","Guthrie","7515","April","2017","IA"
"38","Hamilton","9940","April","2017","IA"
"39","Hancock","7615","April","2017","IA"
"40","Hardin","11228","April","2017","IA"
"41","Harrison","8704","April","2017","IA"
"42","Henry","12994","April","2017","IA"
"43","Howard","5965","April","2017","IA"
"44","Humboldt","6343","April","2017","IA"
"45","Ida","4786","April","2017","IA"
"46","Iowa","11595","April","2017","IA"
"47","Jackson","14012","April","2017","IA"
"48","Jasper","24564","April","2017","IA"
"49","Jefferson","10519","April","2017","IA"
"50","Johnson","93858","April","2017","IA"
"51","Jones","13141","April","2017","IA"
"52","Keokuk","6637","April","2017","IA"
"53","Kossuth","10965","April","2017","IA"
"54","Lee","21948","April","2017","IA"
"55","Linn","141207","April","2017","IA"
"56","Louisa","6839","April","2017","IA"
"57","Lucas","5647","April","2017","IA"
"58","Lyon","8104","April","2017","IA"
"59","Madison","10920","April","2017","IA"
"60","Mahaska","14056","April","2017","IA"
"61","Marion","22852","April","2017","IA"
"62","Marshall","24039","April","2017","IA"
"63","Mills","10278","April","2017","IA"
"64","Mitchell","7013","April","2017","IA"
"65","Monona","6099","April","2017","IA"
"66","Monroe","4853","April","2017","IA"
"67","Montgomery","6914","April","2017","IA"
"68","Muscatine","26814","April","2017","IA"
"69","O'Brien","9428","April","2017","IA"
"70","Osceola","4174","April","2017","IA"
"71","Page","9578","April","2017","IA"
"72","Palo Alto","6119","April","2017","IA"
"73","Plymouth","17082","April","2017","IA"
"74","Pocahontas","4964","April","2017","IA"
"75","Polk","289415","April","2017","IA"
"76","Pottawattamie","57476","April","2017","IA"
"77","Poweshiek","12879","April","2017","IA"
"78","Ringgold","3185","April","2017","IA"
"79","Sac","6962","April","2017","IA"
"80","Scott","117100","April","2017","IA"
"81","Shelby","8102","April","2017","IA"
"82","Sioux","21280","April","2017","IA"
"83","Story","63015","April","2017","IA"
"84","Tama","11330","April","2017","IA"
"85","Taylor","3900","April","2017","IA"
"86","Union","7837","April","2017","IA"
"87","Van Buren","4745","April","2017","IA"
"88","Wapello","21125","April","2017","IA"
"89","Warren","33465","April","2017","IA"
"90","Washington","14393","April","2017","IA"
"91","Wayne","3680","April","2017","IA"
"92","Webster","24013","April","2017","IA"
"93","Winnebago","7413","April","2017","IA"
"94","Winneshiek","14179","April","2017","IA"
"95","Woodbury","58531","April","2017","IA"
"96","Worth","5383","April","2017","IA"
"97","Wright","7983","April","2017","IA"
"98","Allamakee","9214","August","2017","IA"
"99","Appanoose","8067","August","2017","IA"
"100","Audubon","4158","August","2017","IA"
"101","Benton","17156","August","2017","IA"
"102","Black Hawk","81534","August","2017","IA"
"103","Boone","18038","August","2017","IA"
"104","Bremer","16432","August","2017","IA"
"105","Buchanan","13175","August","2017","IA"
"106","Buena Vista","11411","August","2017","IA"
"107","Butler","9696","August","2017","IA"
"108","Calhoun","6507","August","2017","IA"
"109","Carroll","13850","August","2017","IA"
"110","Cass","9070","August","2017","IA"
"111","Cedar","11749","August","2017","IA"
"112","Cerro Gordo","29501","August","2017","IA"
"113","Cherokee","7919","August","2017","IA"
"114","Chickasaw","8212","August","2017","IA"
"115","Clarke","5633","August","2017","IA"
"116","Clay","11002","August","2017","IA"
"117","Clayton","11462","August","2017","IA"
"118","Clinton","30960","August","2017","IA"
"119","Crawford","9427","August","2017","IA"
"120","Dallas","53833","August","2017","IA"
"121","Davis","4875","August","2017","IA"
"122","Decatur","4520","August","2017","IA"
"123","Delaware","11387","August","2017","IA"
"124","Des Moines","25864","August","2017","IA"
"125","Dickinson","12529","August","2017","IA"
"126","Dubuque","63882","August","2017","IA"
"127","Emmet","6313","August","2017","IA"
"128","Fayette","11857","August","2017","IA"
"129","Floyd","10344","August","2017","IA"
"130","Franklin","6391","August","2017","IA"
"131","Fremont","4690","August","2017","IA"
"132","Greene","6196","August","2017","IA"
"133","Grundy","8461","August","2017","IA"
"134","Guthrie","7324","August","2017","IA"
"135","Hamilton","9751","August","2017","IA"
"136","Hancock","7504","August","2017","IA"
"137","Hardin","11060","August","2017","IA"
"138","Harrison","8590","August","2017","IA"
"139","Henry","12623","August","2017","IA"
"140","Howard","5834","August","2017","IA"
"141","Humboldt","6268","August","2017","IA"
"142","Ida","4717","August","2017","IA"
"143","Iowa","11397","August","2017","IA"
"144","Jackson","13793","August","2017","IA"
"145","Jasper","24364","August","2017","IA"
"146","Jefferson","10368","August","2017","IA"
"147","Johnson","90717","August","2017","IA"
"148","Jones","12959","August","2017","IA"
"149","Keokuk","6487","August","2017","IA"
"150","Kossuth","10806","August","2017","IA"
"151","Lee","21517","August","2017","IA"
"152","Linn","140831","August","2017","IA"
"153","Louisa","6724","August","2017","IA"
"154","Lucas","5545","August","2017","IA"
"155","Lyon","7910","August","2017","IA"
"156","Madison","10799","August","2017","IA"
"157","Mahaska","13663","August","2017","IA"
"158","Marion","22339","August","2017","IA"
"159","Marshall","23304","August","2017","IA"
"160","Mills","10054","August","2017","IA"
"161","Mitchell","6893","August","2017","IA"
"162","Monona","5959","August","2017","IA"
"163","Monroe","4784","August","2017","IA"
"164","Montgomery","6834","August","2017","IA"
"165","Muscatine","26282","August","2017","IA"
"166","O'Brien","9302","August","2017","IA"
"167","Osceola","4107","August","2017","IA"
"168","Page","9408","August","2017","IA"
"169","Palo Alto","6025","August","2017","IA"
"170","Plymouth","16741","August","2017","IA"
"171","Pocahontas","4865","August","2017","IA"
"172","Polk","284115","August","2017","IA"
"173","Pottawattamie","56807","August","2017","IA"
"174","Poweshiek","12517","August","2017","IA"
"175","Ringgold","3124","August","2017","IA"
"176","Sac","6811","August","2017","IA"
"177","Scott","114342","August","2017","IA"
