"","county","count","month","year","state"
"1","Ada",246050,"1","2017","ID"
"2","Adams",2716,"1","2017","ID"
"3","Bannock",45167,"1","2017","ID"
"4","Bear Lake",3386,"1","2017","ID"
"5","Benewah",5362,"1","2017","ID"
"6","Bingham",21124,"1","2017","ID"
"7","Blaine",12198,"1","2017","ID"
"8","Boise",4733,"1","2017","ID"
"9","Bonner",26119,"1","2017","ID"
"10","Bonneville",54585,"1","2017","ID"
"11","Boundary",5975,"1","2017","ID"
"12","Butte",1536,"1","2017","ID"
"13","Camas",722,"1","2017","ID"
"14","Canyon",94500,"1","2017","ID"
"15","Caribou",3613,"1","2017","ID"
"16","Cassia",10179,"1","2017","ID"
"17","Clark",378,"1","2017","ID"
"18","Clearwater",4347,"1","2017","ID"
"19","Custer",3000,"1","2017","ID"
"20","Elmore",11190,"1","2017","ID"
"21","Franklin",6690,"1","2017","ID"
"22","Fremont",6568,"1","2017","ID"
"23","Gem",9215,"1","2017","ID"
"24","Gooding",6066,"1","2017","ID"
"25","Idaho",9361,"1","2017","ID"
"26","Jefferson",14308,"1","2017","ID"
"27","Jerome",8666,"1","2017","ID"
"28","Kootenai",84241,"1","2017","ID"
"29","Latah",21723,"1","2017","ID"
"30","Lemhi",4735,"1","2017","ID"
"31","Lewis",1911,"1","2017","ID"
"32","Lincoln",2195,"1","2017","ID"
"33","Madison",21399,"1","2017","ID"
"34","Minidoka",8596,"1","2017","ID"
"35","Nez Perce",22192,"1","2017","ID"
"36","Oneida",2656,"1","2017","ID"
"37","Owyhee",5165,"1","2017","ID"
"38","Payette",11528,"1","2017","ID"
"39","Power",3510,"1","2017","ID"
"40","Shoshone",6298,"1","2017","ID"
"41","Teton",5850,"1","2017","ID"
"42","Twin Falls",38263,"1","2017","ID"
"43","Valley",6674,"1","2017","ID"
"44","Washington",5214,"1","2017","ID"
"45","Ada",250506,"2","2017","ID"
"46","Adams",2469,"2","2017","ID"
"47","Bannock",39727,"2","2017","ID"
"48","Bear Lake",3310,"2","2017","ID"
"49","Benewah",4961,"2","2017","ID"
"50","Bingham",18976,"2","2017","ID"
"51","Blaine",12200,"2","2017","ID"
"52","Boise",4421,"2","2017","ID"
"53","Bonner",24125,"2","2017","ID"
"54","Bonneville",50514,"2","2017","ID"
