"","county","count","month","year","state"
"1","Allen","8617","06","2021","KS"
"2","Anderson","5368","06","2021","KS"
"3","Atchison","12187","06","2021","KS"
"4","Barber","2906","06","2021","KS"
"5","Barton","16446","06","2021","KS"
"6","Bourbon","11936","06","2021","KS"
"7","Brown","6314","06","2021","KS"
"8","Butler","44801","06","2021","KS"
"9","Chase","1874","06","2021","KS"
"10","Chautauqua","2463","06","2021","KS"
"11","Cherokee","14255","06","2021","KS"
"12","Cheyenne","1982","06","2021","KS"
"13","Clark","1518","06","2021","KS"
"14","Clay","5640","06","2021","KS"
"15","Cloud","5845","06","2021","KS"
"16","Coffey","6187","06","2021","KS"
"17","Comanche","1099","06","2021","KS"
"18","Cowley","20011","06","2021","KS"
"19","Crawford","25374","06","2021","KS"
"20","Decatur","2090","06","2021","KS"
"21","Dickinson","13573","06","2021","KS"
"22","Doniphan","4756","06","2021","KS"
"23","Douglas","78093","06","2021","KS"
"24","Edwards","1910","06","2021","KS"
"25","Elk","1775","06","2021","KS"
"26","Ellis","18874","06","2021","KS"
"27","Ellsworth","3973","06","2021","KS"
"28","Finney","20557","06","2021","KS"
"29","Ford","15002","06","2021","KS"
"30","Franklin","19110","06","2021","KS"
"31","Geary","17451","06","2021","KS"
"32","Gove","1847","06","2021","KS"
"33","Graham","1840","06","2021","KS"
"34","Grant","3665","06","2021","KS"
"35","Gray","3146","06","2021","KS"
"36","Greeley","847","06","2021","KS"
"37","Greenwood","4829","06","2021","KS"
"38","Hamilton","1360","06","2021","KS"
"39","Harper","3611","06","2021","KS"
"40","Harvey","23248","06","2021","KS"
"41","Haskell","2299","06","2021","KS"
"42","Hodgeman","1313","06","2021","KS"
"43","Jackson","8902","06","2021","KS"
"44","Jefferson","12774","06","2021","KS"
"45","Jewell","2126","06","2021","KS"
"46","Johnson","438403","06","2021","KS"
"47","Kearny","2216","06","2021","KS"
"48","Kingman","5221","06","2021","KS"
"49","Kiowa","1438","06","2021","KS"
"50","Labette","13102","06","2021","KS"
"51","Lane","1131","06","2021","KS"
"52","Leavenworth","51164","06","2021","KS"
"53","Lincoln","2100","06","2021","KS"
"54","Linn","7125","06","2021","KS"
"55","Logan","1877","06","2021","KS"
"56","Lyon","20426","06","2021","KS"
"57","Marion","7997","06","2021","KS"
"58","Marshall","6858","06","2021","KS"
"59","McPherson","18350","06","2021","KS"
"60","Meade","3332","06","2021","KS"
