"","county","count","year","month","state"
"1","002  ALLEN","14553","2017","February","KY"
"2","003  ANDERSON","17839","2017","February","KY"
"3","004  BALLARD","6400","2017","February","KY"
"4","005  BARREN","30848","2017","February","KY"
"5","006  BATH","9216","2017","February","KY"
"6","007  BELL","21086","2017","February","KY"
"7","008  BOONE","99505","2017","February","KY"
"8","009  BOURBON","14649","2017","February","KY"
"9","010  BOYD","39325","2017","February","KY"
"10","011  BOYLE","21686","2017","February","KY"
"11","012  BRACKEN","6281","2017","February","KY"
"12","013  BREATHITT","11668","2017","February","KY"
"13","014  BRECKINRIDGE","14997","2017","February","KY"
"14","015  BULLITT","58139","2017","February","KY"
"15","016  BUTLER","9416","2017","February","KY"
"16","017  CALDWELL","10109","2017","February","KY"
"17","018  CALLOWAY","29414","2017","February","KY"
"18","019  CAMPBELL","72070","2017","February","KY"
"19","020  CARLISLE","4037","2017","February","KY"
"20","021  CARROLL","7853","2017","February","KY"
"21","022  CARTER","19855","2017","February","KY"
"22","023  CASEY","10907","2017","February","KY"
"23","024  CHRISTIAN","50009","2017","February","KY"
"24","025  CLARK","28290","2017","February","KY"
"25","026  CLAY","14614","2017","February","KY"
"26","027  CLINTON","7488","2017","February","KY"
"27","028  CRITTENDEN","6693","2017","February","KY"
"28","029  CUMBERLAND","5384","2017","February","KY"
"29","030  DAVIESS","72910","2017","February","KY"
"30","031  EDMONSON","9047","2017","February","KY"
"31","032  ELLIOTT","5182","2017","February","KY"
"32","033  ESTILL","10528","2017","February","KY"
"33","034  FAYETTE","225681","2017","February","KY"
"34","035  FLEMING","10795","2017","February","KY"
"35","036  FLOYD","30409","2017","February","KY"
"36","037  FRANKLIN","36698","2017","February","KY"
"37","038  FULTON","5478","2017","February","KY"
"38","039  GALLATIN","6376","2017","February","KY"
"39","040  GARRARD","13049","2017","February","KY"
"40","041  GRANT","17701","2017","February","KY"
"41","042  GRAVES","25491","2017","February","KY"
"42","043  GRAYSON","18187","2017","February","KY"
"43","044  GREEN","8759","2017","February","KY"
"44","045  GREENUP","29110","2017","February","KY"
"45","046  HANCOCK","6738","2017","February","KY"
"46","047  HARDIN","80856","2017","February","KY"
"47","048  HARLAN","20592","2017","February","KY"
"48","049  HARRISON","13534","2017","February","KY"
"49","050  HART","13235","2017","February","KY"
"50","051  HENDERSON","34896","2017","February","KY"
"51","052  HENRY","11928","2017","February","KY"
"52","053  HICKMAN","3740","2017","February","KY"
"53","054  HOPKINS","34667","2017","February","KY"
"54","055  JACKSON","9982","2017","February","KY"
"55","056  JEFFERSON","583677","2017","February","KY"
"56","057  JESSAMINE","39451","2017","February","KY"
"57","058  JOHNSON","17861","2017","February","KY"
"58","059  KENTON","128728","2017","February","KY"
"59","060  KNOTT","11249","2017","February","KY"
"60","061  KNOX","24148","2017","February","KY"
"61","062  LARUE","10448","2017","February","KY"
"62","063  LAUREL","46307","2017","February","KY"
"63","064  LAWRENCE","12460","2017","February","KY"
"64","065  LEE","5252","2017","February","KY"
"65","066  LESLIE","8532","2017","February","KY"
"66","067  LETCHER","16359","2017","February","KY"
"67","068  LEWIS","10167","2017","February","KY"
"68","069  LINCOLN","17973","2017","February","KY"
"69","070  LIVINGSTON","7625","2017","February","KY"
"70","071  LOGAN","17823","2017","February","KY"
"71","072  LYON","6403","2017","February","KY"
"72","073  MCCRACKEN","53786","2017","February","KY"
"73","074  MCCREARY","11161","2017","February","KY"
"74","075  MCLEAN","6971","2017","February","KY"
"75","076  MADISON","63801","2017","February","KY"
"76","077  MAGOFFIN","9983","2017","February","KY"
"77","078  MARION","13169","2017","February","KY"
"78","079  MARSHALL","25579","2017","February","KY"
"79","080  MARTIN","8223","2017","February","KY"
"80","081  MASON","13090","2017","February","KY"
"81","082  MEADE","21313","2017","February","KY"
"82","083  MENIFEE","5365","2017","February","KY"
"83","084  MERCER","17564","2017","February","KY"
"84","085  METCALFE","7719","2017","February","KY"
"85","086  MONROE","8553","2017","February","KY"
"86","087  MONTGOMERY","20263","2017","February","KY"
"87","088  MORGAN","9096","2017","February","KY"
"88","089  MUHLENBERG","22621","2017","February","KY"
"89","090  NELSON","33114","2017","February","KY"
"90","091  NICHOLAS","5444","2017","February","KY"
