"","county","count","month","year","state"
"1","ACADIA PAR 01","39838","January","2017","LA"
"2","ALLEN PAR 02","13751","January","2017","LA"
"3","ASCENSION PAR 03","75450","January","2017","LA"
"4","ASSUMPTION PAR 04","15147","January","2017","LA"
"5","AVOYELLES PAR 05","24672","January","2017","LA"
"6","BEAUREGARD PAR 06","22220","January","2017","LA"
"7","BIENVILLE PAR 07","9450","January","2017","LA"
"8","BOSSIER PAR 08","71441","January","2017","LA"
"9","CADDO PAR 09","164480","January","2017","LA"
"10","CALCASIEU PAR 10","127865","January","2017","LA"
"11","CALDWELL PAR 11","6671","January","2017","LA"
"12","CAMERON PAR 12","5127","January","2017","LA"
"13","CATAHOULA PAR 13","6926","January","2017","LA"
"14","CLAIBORNE PAR 14","9105","January","2017","LA"
"15","CONCORDIA PAR 15","13107","January","2017","LA"
"16","DE SOTO PAR 16","19029","January","2017","LA"
"17","EAST BATON ROUGE PAR 17","286008","January","2017","LA"
"18","EAST CARROLL PAR 18","5285","January","2017","LA"
"19","EAST FELICIANA PAR 19","14179","January","2017","LA"
"20","EVANGELINE PAR 20","21927","January","2017","LA"
"21","FRANKLIN PAR 21","13782","January","2017","LA"
"22","GRANT PAR 22","12813","January","2017","LA"
"23","IBERIA PAR 23","47907","January","2017","LA"
"24","IBERVILLE PAR 24","21387","January","2017","LA"
"25","JACKSON PAR 25","10120","January","2017","LA"
"26","JEFFERSON PAR 26","271608","January","2017","LA"
"27","JEFFERSON DAVIS PAR 27","21083","January","2017","LA"
"28","LAFAYETTE PAR 28","152650","January","2017","LA"
"29","LAFOURCHE PAR 29","58473","January","2017","LA"
"30","LASALLE PAR 30","8962","January","2017","LA"
"31","LINCOLN PAR 31","26763","January","2017","LA"
"32","LIVINGSTON PAR 32","82571","January","2017","LA"
"33","MADISON PAR 33","7701","January","2017","LA"
"34","MOREHOUSE PAR 34","18597","January","2017","LA"
"35","NATCHITOCHES PAR 35","25045","January","2017","LA"
"36","ORLEANS PAR 36","257084","January","2017","LA"
"37","OUACHITA PAR 37","104134","January","2017","LA"
"38","PLAQUEMINES PAR 38","14771","January","2017","LA"
"39","POINTE COUPEE PAR 39","15532","January","2017","LA"
"40","RAPIDES PAR 40","85257","January","2017","LA"
"41","RED RIVER PAR 41","6167","January","2017","LA"
"42","RICHLAND PAR 42","14180","January","2017","LA"
"43","SABINE PAR 43","14799","January","2017","LA"
"44","ST. BERNARD PAR 44","25998","January","2017","LA"
"45","ST. CHARLES PAR 45","35087","January","2017","LA"
"46","ST. HELENA PAR 46","8490","January","2017","LA"
"47","ST. JAMES PAR 47","15715","January","2017","LA"
"48","ST. JOHN THE BAPTIST PAR 48","29731","January","2017","LA"
"49","ST. LANDRY PAR 49","60072","January","2017","LA"
"50","ST. MARTIN PAR 50","36786","January","2017","LA"
"51","ST. MARY PAR 51","32995","January","2017","LA"
"52","ST. TAMMANY PAR 52","170407","January","2017","LA"
"53","TANGIPAHOA PAR 53","78028","January","2017","LA"
"54","TENSAS PAR 54","3970","January","2017","LA"
"55","TERREBONNE PAR 55","63870","January","2017","LA"
"56","UNION PAR 56","15827","January","2017","LA"
"57","VERMILION PAR 57","37582","January","2017","LA"
"58","VERNON PAR 58","25208","January","2017","LA"
"59","WASHINGTON PAR 59","27659","January","2017","LA"
"60","WEBSTER PAR 60","25347","January","2017","LA"
"61","WEST BATON ROUGE PAR 61","16640","January","2017","LA"
"62","WEST CARROLL PAR 62","7274","January","2017","LA"
"63","WEST FELICIANA PAR 63","7743","January","2017","LA"
"64","WINN PAR 64","9202","January","2017","LA"
"65","ACADIA PAR 01","39817","February","2017","LA"
"66","ALLEN PAR 02","13744","February","2017","LA"
"67","ASCENSION PAR 03","75505","February","2017","LA"
"68","ASSUMPTION PAR 04","15154","February","2017","LA"
"69","AVOYELLES PAR 05","24669","February","2017","LA"
"70","BEAUREGARD PAR 06","22190","February","2017","LA"
"71","BIENVILLE PAR 07","9411","February","2017","LA"
"72","BOSSIER PAR 08","71463","February","2017","LA"
"73","CADDO PAR 09","164458","February","2017","LA"
"74","CALCASIEU PAR 10","127897","February","2017","LA"
"75","CALDWELL PAR 11","6658","February","2017","LA"
"76","CAMERON PAR 12","5124","February","2017","LA"
"77","CATAHOULA PAR 13","6926","February","2017","LA"
"78","CLAIBORNE PAR 14","9087","February","2017","LA"
"79","CONCORDIA PAR 15","13105","February","2017","LA"
"80","DE SOTO PAR 16","19040","February","2017","LA"
"81","EAST BATON ROUGE PAR 17","285864","February","2017","LA"
"82","EAST CARROLL PAR 18","5280","February","2017","LA"
"83","EAST FELICIANA PAR 19","14177","February","2017","LA"
"84","EVANGELINE PAR 20","21882","February","2017","LA"
"85","FRANKLIN PAR 21","13773","February","2017","LA"
"86","GRANT PAR 22","12798","February","2017","LA"
"87","IBERIA PAR 23","47843","February","2017","LA"
"88","IBERVILLE PAR 24","21354","February","2017","LA"
"89","JACKSON PAR 25","10105","February","2017","LA"
"90","JEFFERSON PAR 26","271649","February","2017","LA"
"91","JEFFERSON DAVIS PAR 27","21080","February","2017","LA"
"92","LAFAYETTE PAR 28","152696","February","2017","LA"
"93","LAFOURCHE PAR 29","58449","February","2017","LA"
"94","LASALLE PAR 30","8953","February","2017","LA"
"95","LINCOLN PAR 31","26791","February","2017","LA"
"96","LIVINGSTON PAR 32","82378","February","2017","LA"
"97","MADISON PAR 33","7694","February","2017","LA"
"98","MOREHOUSE PAR 34","18586","February","2017","LA"
"99","NATCHITOCHES PAR 35","25041","February","2017","LA"
"100","ORLEANS PAR 36","257268","February","2017","LA"
"101","OUACHITA PAR 37","104026","February","2017","LA"
"102","PLAQUEMINES PAR 38","14759","February","2017","LA"
"103","POINTE COUPEE PAR 39","15540","February","2017","LA"
"104","RAPIDES PAR 40","85296","February","2017","LA"
"105","RED RIVER PAR 41","6162","February","2017","LA"
"106","RICHLAND PAR 42","14170","February","2017","LA"
"107","SABINE PAR 43","14790","February","2017","LA"
"108","ST. BERNARD PAR 44","25986","February","2017","LA"
"109","ST. CHARLES PAR 45","35105","February","2017","LA"
"110","ST. HELENA PAR 46","8485","February","2017","LA"
"111","ST. JAMES PAR 47","15706","February","2017","LA"
"112","ST. JOHN THE BAPTIST PAR 48","29727","February","2017","LA"
"113","ST. LANDRY PAR 49","60057","February","2017","LA"
"114","ST. MARTIN PAR 50","36778","February","2017","LA"
"115","ST. MARY PAR 51","32984","February","2017","LA"
"116","ST. TAMMANY PAR 52","170583","February","2017","LA"
"117","TANGIPAHOA PAR 53","78183","February","2017","LA"
"118","TENSAS PAR 54","3954","February","2017","LA"
"119","TERREBONNE PAR 55","63869","February","2017","LA"
"120","UNION PAR 56","15827","February","2017","LA"
"121","VERMILION PAR 57","37587","February","2017","LA"
"122","VERNON PAR 58","25222","February","2017","LA"
"123","WASHINGTON PAR 59","27689","February","2017","LA"
"124","WEBSTER PAR 60","25306","February","2017","LA"
"125","WEST BATON ROUGE PAR 61","16653","February","2017","LA"
"126","WEST CARROLL PAR 62","7275","February","2017","LA"
"127","WEST FELICIANA PAR 63","7764","February","2017","LA"
"128","WINN PAR 64","9196","February","2017","LA"
"129","ACADIA PAR 01","39819","March","2017","LA"
"130","ALLEN PAR 02","13740","March","2017","LA"
"131","ASCENSION PAR 03","75527","March","2017","LA"
"132","ASSUMPTION PAR 04","15159","March","2017","LA"
"133","AVOYELLES PAR 05","24638","March","2017","LA"
"134","BEAUREGARD PAR 06","22190","March","2017","LA"
"135","BIENVILLE PAR 07","9388","March","2017","LA"
"136","BOSSIER PAR 08","71519","March","2017","LA"
"137","CADDO PAR 09","164452","March","2017","LA"
"138","CALCASIEU PAR 10","127896","March","2017","LA"
"139","CALDWELL PAR 11","6648","March","2017","LA"
"140","CAMERON PAR 12","5127","March","2017","LA"
"141","CATAHOULA PAR 13","6912","March","2017","LA"
"142","CLAIBORNE PAR 14","9092","March","2017","LA"
"143","CONCORDIA PAR 15","13100","March","2017","LA"
"144","DE SOTO PAR 16","19059","March","2017","LA"
"145","EAST BATON ROUGE PAR 17","285816","March","2017","LA"
"146","EAST CARROLL PAR 18","5276","March","2017","LA"
"147","EAST FELICIANA PAR 19","14174","March","2017","LA"
"148","EVANGELINE PAR 20","21864","March","2017","LA"
"149","FRANKLIN PAR 21","13766","March","2017","LA"
"150","GRANT PAR 22","12804","March","2017","LA"
"151","IBERIA PAR 23","47839","March","2017","LA"
"152","IBERVILLE PAR 24","21334","March","2017","LA"
"153","JACKSON PAR 25","10093","March","2017","LA"
"154","JEFFERSON PAR 26","271700","March","2017","LA"
"155","JEFFERSON DAVIS PAR 27","21090","March","2017","LA"
"156","LAFAYETTE PAR 28","152704","March","2017","LA"
"157","LAFOURCHE PAR 29","58430","March","2017","LA"
"158","LASALLE PAR 30","8944","March","2017","LA"
"159","LINCOLN PAR 31","26803","March","2017","LA"
"160","LIVINGSTON PAR 32","82288","March","2017","LA"
"161","MADISON PAR 33","7695","March","2017","LA"
"162","MOREHOUSE PAR 34","18578","March","2017","LA"
"163","NATCHITOCHES PAR 35","25028","March","2017","LA"
"164","ORLEANS PAR 36","257240","March","2017","LA"
"165","OUACHITA PAR 37","104074","March","2017","LA"
"166","PLAQUEMINES PAR 38","14768","March","2017","LA"
"167","POINTE COUPEE PAR 39","15536","March","2017","LA"
"168","RAPIDES PAR 40","85258","March","2017","LA"
"169","RED RIVER PAR 41","6157","March","2017","LA"
"170","RICHLAND PAR 42","14166","March","2017","LA"
"171","SABINE PAR 43","14782","March","2017","LA"
"172","ST. BERNARD PAR 44","25999","March","2017","LA"
"173","ST. CHARLES PAR 45","35128","March","2017","LA"
"174","ST. HELENA PAR 46","8485","March","2017","LA"
"175","ST. JAMES PAR 47","15701","March","2017","LA"
"176","ST. JOHN THE BAPTIST PAR 48","29767","March","2017","LA"
"177","ST. LANDRY PAR 49","60025","March","2017","LA"
"178","ST. MARTIN PAR 50","36791","March","2017","LA"
"179","ST. MARY PAR 51","32987","March","2017","LA"
"180","ST. TAMMANY PAR 52","170653","March","2017","LA"
"181","TANGIPAHOA PAR 53","78233","March","2017","LA"
"182","TENSAS PAR 54","3951","March","2017","LA"
"183","TERREBONNE PAR 55","63859","March","2017","LA"
"184","UNION PAR 56","15811","March","2017","LA"
"185","VERMILION PAR 57","37595","March","2017","LA"
"186","VERNON PAR 58","25233","March","2017","LA"
"187","WASHINGTON PAR 59","27672","March","2017","LA"
"188","WEBSTER PAR 60","25270","March","2017","LA"
"189","WEST BATON ROUGE PAR 61","16652","March","2017","LA"
"190","WEST CARROLL PAR 62","7281","March","2017","LA"
"191","WEST FELICIANA PAR 63","7762","March","2017","LA"
"192","WINN PAR 64","9185","March","2017","LA"
"193","ACADIA PAR 01","39791","April","2017","LA"
"194","ALLEN PAR 02","13719","April","2017","LA"
"195","ASCENSION PAR 03","75546","April","2017","LA"
"196","ASSUMPTION PAR 04","15163","April","2017","LA"
"197","AVOYELLES PAR 05","24648","April","2017","LA"
"198","BEAUREGARD PAR 06","22180","April","2017","LA"
"199","BIENVILLE PAR 07","9384","April","2017","LA"
"200","BOSSIER PAR 08","71501","April","2017","LA"
"201","CADDO PAR 09","164126","April","2017","LA"
"202","CALCASIEU PAR 10","127919","April","2017","LA"
"203","CALDWELL PAR 11","6634","April","2017","LA"
"204","CAMERON PAR 12","5128","April","2017","LA"
"205","CATAHOULA PAR 13","6899","April","2017","LA"
"206","CLAIBORNE PAR 14","9081","April","2017","LA"
"207","CONCORDIA PAR 15","13093","April","2017","LA"
"208","DE SOTO PAR 16","19075","April","2017","LA"
"209","EAST BATON ROUGE PAR 17","285738","April","2017","LA"
"210","EAST CARROLL PAR 18","5273","April","2017","LA"
"211","EAST FELICIANA PAR 19","14186","April","2017","LA"
"212","EVANGELINE PAR 20","21846","April","2017","LA"
"213","FRANKLIN PAR 21","13761","April","2017","LA"
"214","GRANT PAR 22","12788","April","2017","LA"
"215","IBERIA PAR 23","47807","April","2017","LA"
"216","IBERVILLE PAR 24","21311","April","2017","LA"
"217","JACKSON PAR 25","10079","April","2017","LA"
"218","JEFFERSON PAR 26","271701","April","2017","LA"
"219","JEFFERSON DAVIS PAR 27","21098","April","2017","LA"
"220","LAFAYETTE PAR 28","152714","April","2017","LA"
"221","LAFOURCHE PAR 29","58398","April","2017","LA"
"222","LASALLE PAR 30","8939","April","2017","LA"
"223","LINCOLN PAR 31","26785","April","2017","LA"
"224","LIVINGSTON PAR 32","82227","April","2017","LA"
"225","MADISON PAR 33","7692","April","2017","LA"
"226","MOREHOUSE PAR 34","18593","April","2017","LA"
"227","NATCHITOCHES PAR 35","25002","April","2017","LA"
"228","ORLEANS PAR 36","257307","April","2017","LA"
"229","OUACHITA PAR 37","104087","April","2017","LA"
"230","PLAQUEMINES PAR 38","14760","April","2017","LA"
"231","POINTE COUPEE PAR 39","15517","April","2017","LA"
"232","RAPIDES PAR 40","85248","April","2017","LA"
"233","RED RIVER PAR 41","6137","April","2017","LA"
"234","RICHLAND PAR 42","14155","April","2017","LA"
"235","SABINE PAR 43","14770","April","2017","LA"
"236","ST. BERNARD PAR 44","26007","April","2017","LA"
"237","ST. CHARLES PAR 45","35133","April","2017","LA"
"238","ST. HELENA PAR 46","8477","April","2017","LA"
"239","ST. JAMES PAR 47","15687","April","2017","LA"
"240","ST. JOHN THE BAPTIST PAR 48","29746","April","2017","LA"
"241","ST. LANDRY PAR 49","59990","April","2017","LA"
"242","ST. MARTIN PAR 50","36798","April","2017","LA"
"243","ST. MARY PAR 51","32983","April","2017","LA"
"244","ST. TAMMANY PAR 52","170881","April","2017","LA"
"245","TANGIPAHOA PAR 53","78293","April","2017","LA"
"246","TENSAS PAR 54","3950","April","2017","LA"
"247","TERREBONNE PAR 55","63853","April","2017","LA"
"248","UNION PAR 56","15793","April","2017","LA"
"249","VERMILION PAR 57","37613","April","2017","LA"
"250","VERNON PAR 58","25232","April","2017","LA"
"251","WASHINGTON PAR 59","27674","April","2017","LA"
"252","WEBSTER PAR 60","25244","April","2017","LA"
"253","WEST BATON ROUGE PAR 61","16659","April","2017","LA"
"254","WEST CARROLL PAR 62","7269","April","2017","LA"
"255","WEST FELICIANA PAR 63","7766","April","2017","LA"
"256","WINN PAR 64","9174","April","2017","LA"
"257","ACADIA PAR 01","39786","May","2017","LA"
"258","ALLEN PAR 02","13727","May","2017","LA"
"259","ASCENSION PAR 03","75570","May","2017","LA"
"260","ASSUMPTION PAR 04","15143","May","2017","LA"
"261","AVOYELLES PAR 05","24644","May","2017","LA"
"262","BEAUREGARD PAR 06","22173","May","2017","LA"
"263","BIENVILLE PAR 07","9375","May","2017","LA"
"264","BOSSIER PAR 08","71445","May","2017","LA"
"265","CADDO PAR 09","164066","May","2017","LA"
