"","county","count","year","month","state"
"1","ALLEGANY","43881",2017,"01","MD"
"2","ANNE ARUNDEL","387363",2017,"01","MD"
"3","BALTIMORE CITY","395387",2017,"01","MD"
"4","BALTIMORE CO.","554828",2017,"01","MD"
"5","CALVERT","64271",2017,"01","MD"
"6","CAROLINE","19948",2017,"01","MD"
"7","CARROLL","121991",2017,"01","MD"
"8","CECIL","65963",2017,"01","MD"
"9","CHARLES","111620",2017,"01","MD"
"10","DORCHESTER","21442",2017,"01","MD"
"11","FREDERICK","169477",2017,"01","MD"
"12","GARRETT","19842",2017,"01","MD"
"13","HARFORD","179082",2017,"01","MD"
"14","HOWARD","212752",2017,"01","MD"
"15","KENT","13071",2017,"01","MD"
"16","MONTGOMERY","672739",2017,"01","MD"
"17","PR. GEORGE'S","581377",2017,"01","MD"
"18","QUEEN ANNE'S","35675",2017,"01","MD"
"19","ST. MARY'S","71300",2017,"01","MD"
"20","SOMERSET","13067",2017,"01","MD"
"21","TALBOT","27091",2017,"01","MD"
"22","WASHINGTON","95619",2017,"01","MD"
"23","WICOMICO","61253",2017,"01","MD"
"24","WORCESTER","38598",2017,"01","MD"
"25","ALLEGANY","43382",2017,"02","MD"
"26","ANNE ARUNDEL","385773",2017,"02","MD"
"27","BALTIMORE CITY","393850",2017,"02","MD"
"28","BALTIMORE CO.","552208",2017,"02","MD"
"29","CALVERT","64005",2017,"02","MD"
"30","CAROLINE","19988",2017,"02","MD"
"31","CARROLL","121587",2017,"02","MD"
"32","CECIL","66059",2017,"02","MD"
"33","CHARLES","110138",2017,"02","MD"
"34","DORCHESTER","21249",2017,"02","MD"
"35","FREDERICK","168236",2017,"02","MD"
"36","GARRETT","19791",2017,"02","MD"
"37","HARFORD","178313",2017,"02","MD"
"38","HOWARD","211429",2017,"02","MD"
"39","KENT","13031",2017,"02","MD"
"40","MONTGOMERY","670864",2017,"02","MD"
"41","PR. GEORGE'S","583247",2017,"02","MD"
"42","QUEEN ANNE'S","35720",2017,"02","MD"
"43","ST. MARY'S","71367",2017,"02","MD"
"44","SOMERSET","13092",2017,"02","MD"
"45","TALBOT","27117",2017,"02","MD"
"46","WASHINGTON","95105",2017,"02","MD"
"47","WICOMICO","60945",2017,"02","MD"
"48","WORCESTER","38522",2017,"02","MD"
"49","ALLEGANY","43373",2017,"03","MD"
"50","ANNE ARUNDEL","382324",2017,"03","MD"
"51","BALTIMORE CITY","389173",2017,"03","MD"
"52","BALTIMORE CO.","551820",2017,"03","MD"
"53","CALVERT","63923",2017,"03","MD"
"54","CAROLINE","19986",2017,"03","MD"
"55","CARROLL","121198",2017,"03","MD"
"56","CECIL","66149",2017,"03","MD"
"57","CHARLES","109989",2017,"03","MD"
"58","DORCHESTER","21159",2017,"03","MD"
"59","FREDERICK","166879",2017,"03","MD"
"60","GARRETT","19763",2017,"03","MD"
"61","HARFORD","178800",2017,"03","MD"
"62","HOWARD","211223",2017,"03","MD"
"63","KENT","13016",2017,"03","MD"
"64","MONTGOMERY","657461",2017,"03","MD"
"65","PR. GEORGE'S","582048",2017,"03","MD"
"66","QUEEN ANNE'S","35431",2017,"03","MD"
"67","ST. MARY'S","70167",2017,"03","MD"
"68","SOMERSET","13054",2017,"03","MD"
"69","TALBOT","27094",2017,"03","MD"
"70","WASHINGTON","94637",2017,"03","MD"
"71","WICOMICO","60881",2017,"03","MD"
"72","WORCESTER","38308",2017,"03","MD"
"73","ALLEGANY","43426",2017,"04","MD"
"74","ANNE ARUNDEL","382995",2017,"04","MD"
"75","BALTIMORE CITY","388404",2017,"04","MD"
"76","BALTIMORE CO.","552404",2017,"04","MD"
"77","CALVERT","64127",2017,"04","MD"
"78","CAROLINE","20037",2017,"04","MD"
"79","CARROLL","121450",2017,"04","MD"
"80","CECIL","64237",2017,"04","MD"
"81","CHARLES","110338",2017,"04","MD"
"82","DORCHESTER","21193",2017,"04","MD"
"83","FREDERICK","167234",2017,"04","MD"
"84","GARRETT","19760",2017,"04","MD"
"85","HARFORD","177880",2017,"04","MD"
"86","HOWARD","211826",2017,"04","MD"
"87","KENT","13048",2017,"04","MD"
"88","MONTGOMERY","660318",2017,"04","MD"
"89","PR. GEORGE'S","579214",2017,"04","MD"
"90","QUEEN ANNE'S","35493",2017,"04","MD"
"91","ST. MARY'S","69825",2017,"04","MD"
"92","SOMERSET","13074",2017,"04","MD"
"93","TALBOT","27096",2017,"04","MD"
"94","WASHINGTON","94478",2017,"04","MD"
"95","WICOMICO","61013",2017,"04","MD"
"96","WORCESTER","38400",2017,"04","MD"
"97","ALLEGANY","43461",2017,"05","MD"
"98","ANNE ARUNDEL","383476",2017,"05","MD"
"99","BALTIMORE CITY","388461",2017,"05","MD"
"100","BALTIMORE CO.","552384",2017,"05","MD"
"101","CALVERT","64243",2017,"05","MD"
"102","CAROLINE","20056",2017,"05","MD"
"103","CARROLL","121628",2017,"05","MD"
"104","CECIL","64242",2017,"05","MD"
"105","CHARLES","110435",2017,"05","MD"
"106","DORCHESTER","21210",2017,"05","MD"
"107","FREDERICK","167625",2017,"05","MD"
"108","GARRETT","19790",2017,"05","MD"
"109","HARFORD","178499",2017,"05","MD"
"110","HOWARD","212347",2017,"05","MD"
"111","KENT","13024",2017,"05","MD"
"112","MONTGOMERY","647718",2017,"05","MD"
"113","PR. GEORGE'S","580079",2017,"05","MD"
"114","QUEEN ANNE'S","35550",2017,"05","MD"
"115","ST. MARY'S","70003",2017,"05","MD"
"116","SOMERSET","13103",2017,"05","MD"
"117","TALBOT","27050",2017,"05","MD"
"118","WASHINGTON","94676",2017,"05","MD"
"119","WICOMICO","61161",2017,"05","MD"
"120","WORCESTER","38468",2017,"05","MD"
"121","ALLEGANY","43344",2017,"06","MD"
"122","ANNE ARUNDEL","383003",2017,"06","MD"
"123","BALTIMORE CITY","387734",2017,"06","MD"
"124","BALTIMORE CO.","551462",2017,"06","MD"
"125","CALVERT","64241",2017,"06","MD"
"126","CAROLINE","20065",2017,"06","MD"
"127","CARROLL","121532",2017,"06","MD"
"128","CECIL","64334",2017,"06","MD"
"129","CHARLES","110266",2017,"06","MD"
"130","DORCHESTER","21143",2017,"06","MD"
"131","FREDERICK","167782",2017,"06","MD"
"132","GARRETT","19759",2017,"06","MD"
"133","HARFORD","178208",2017,"06","MD"
"134","HOWARD","212081",2017,"06","MD"
"135","KENT","12988",2017,"06","MD"
"136","MONTGOMERY","644531",2017,"06","MD"
"137","PR. GEORGE'S","579936",2017,"06","MD"
"138","QUEEN ANNE'S","35514",2017,"06","MD"
"139","ST. MARY'S","69920",2017,"06","MD"
"140","SOMERSET","13069",2017,"06","MD"
"141","TALBOT","26965",2017,"06","MD"
"142","WASHINGTON","94667",2017,"06","MD"
"143","WICOMICO","61325",2017,"06","MD"
"144","WORCESTER","38395",2017,"06","MD"
"145","ALLEGANY","43168",2017,"07","MD"
"146","ANNE ARUNDEL","381598",2017,"07","MD"
"147","BALTIMORE CITY","388423",2017,"07","MD"
"148","BALTIMORE CO.","550431",2017,"07","MD"
"149","CALVERT","64218",2017,"07","MD"
"150","CAROLINE","20033",2017,"07","MD"
"151","CARROLL","121242",2017,"07","MD"
"152","CECIL","63872",2017,"07","MD"
"153","CHARLES","110228",2017,"07","MD"
"154","DORCHESTER","21155",2017,"07","MD"
"155","FREDERICK","167515",2017,"07","MD"
"156","GARRETT","19644",2017,"07","MD"
"157","HARFORD","178084",2017,"07","MD"
"158","HOWARD","211523",2017,"07","MD"
"159","KENT","12967",2017,"07","MD"
"160","MONTGOMERY","645354",2017,"07","MD"
"161","PR. GEORGE'S","572251",2017,"07","MD"
"162","QUEEN ANNE'S","35472",2017,"07","MD"
"163","ST. MARY'S","70151",2017,"07","MD"
"164","SOMERSET","13037",2017,"07","MD"
"165","TALBOT","26917",2017,"07","MD"
"166","WASHINGTON","94351",2017,"07","MD"
"167","WICOMICO","60972",2017,"07","MD"
"168","WORCESTER","38316",2017,"07","MD"
"169","ALLEGANY","43101",2017,"08","MD"
"170","ANNE ARUNDEL","381073",2017,"08","MD"
"171","BALTIMORE CITY","384801",2017,"08","MD"
