"","county","count","year","month","state"
"1","01 - Adams",19679,"2021","April","MS"
"2","02 - Alcorn",24485,"2021","April","MS"
"3","03 - Amite",9952,"2021","April","MS"
"4","04 - Attala",12091,"2021","April","MS"
"5","05 - Benton",5946,"2021","April","MS"
"6","06 - Bolivar",23868,"2021","April","MS"
"7","07 - Calhoun",9283,"2021","April","MS"
"8","08 - Carroll",7315,"2021","April","MS"
"9","09 - Chickasaw",11954,"2021","April","MS"
"10","10 - Choctaw",4943,"2021","April","MS"
"11","11 - Claiborne",6453,"2021","April","MS"
"12","12 - Clarke",11359,"2021","April","MS"
"13","13 - Clay",13896,"2021","April","MS"
"14","14 - Coahoma",15649,"2021","April","MS"
"15","15 - Copiah",18870,"2021","April","MS"
"16","16 - Covington",14129,"2021","April","MS"
"17","17 - DeSoto",123359,"2021","April","MS"
"18","18 - Forrest",47796,"2021","April","MS"
"19","19 - Franklin",5839,"2021","April","MS"
"20","20 - George",15420,"2021","April","MS"
"21","21 - Greene",7510,"2021","April","MS"
"22","22 - Grenada",15172,"2021","April","MS"
"23","23 - Hancock",34361,"2021","April","MS"
"24","24 - Harrison",139021,"2021","April","MS"
"25","25 - Hinds",167027,"2021","April","MS"
"26","26 - Holmes",13172,"2021","April","MS"
"27","27 - Humphreys",6630,"2021","April","MS"
"28","28 - Issaquena",935,"2021","April","MS"
"29","29 - Itawamba",15499,"2021","April","MS"
"30","30 - Jackson",86656,"2021","April","MS"
"31","31 - Jasper",11087,"2021","April","MS"
"32","32 - Jefferson",5758,"2021","April","MS"
"33","33 - Jeff Davis",8622,"2021","April","MS"
"34","34 - Jones",45048,"2021","April","MS"
"35","35 - Kemper",7464,"2021","April","MS"
"36","36 - Lafayette",31915,"2021","April","MS"
"37","37 - Lamar",36813,"2021","April","MS"
"38","38 - Lauderdale",43643,"2021","April","MS"
"39","39 - Lawrence",8622,"2021","April","MS"
"40","40 - Leake",13489,"2021","April","MS"
"41","41 - Lee",52313,"2021","April","MS"
"42","42 - Leflore",21540,"2021","April","MS"
"43","43 - Lincoln",21828,"2021","April","MS"
"44","44 - Lowndes",37557,"2021","April","MS"
"45","45 - Madison",74481,"2021","April","MS"
"46","46 - Marion",16160,"2021","April","MS"
"47","47 - Marshall",24251,"2021","April","MS"
"48","48 - Monroe",25070,"2021","April","MS"
"49","49 - Montgomery",6373,"2021","April","MS"
"50","50 - Neshoba",17437,"2021","April","MS"
"51","51 - Newton",13577,"2021","April","MS"
"52","52 - Noxubee",7671,"2021","April","MS"
"53","53 - Oktibbeha",29899,"2021","April","MS"
"54","54 - Panola",22404,"2021","April","MS"
"55","55 - Pearl River",34981,"2021","April","MS"
"56","56 - Perry",8541,"2021","April","MS"
"57","57 - Pike",24738,"2021","April","MS"
"58","58 - Pontotoc",19745,"2021","April","MS"
"59","59 - Prentiss",14415,"2021","April","MS"
"60","60 - Quitman",4723,"2021","April","MS"
"61","61 - Rankin",97868,"2021","April","MS"
"62","62 - Scott",16719,"2021","April","MS"
"63","63 - Sharkey",3299,"2021","April","MS"
"64","64 - Simpson",17353,"2021","April","MS"
"65","65 - Smith",11457,"2021","April","MS"
"66","66 - Stone",10701,"2021","April","MS"
"67","67 - Sunflower",14375,"2021","April","MS"
"68","68 - Tallahatchie",9828,"2021","April","MS"
"69","69 - Tate",17697,"2021","April","MS"
"70","70 - Tippah",13857,"2021","April","MS"
"71","71 - Tishomingo",12693,"2021","April","MS"
"72","72 - Tunica",6417,"2021","April","MS"
"73","73 - Union",16657,"2021","April","MS"
"74","74 - Walthall",10172,"2021","April","MS"
"75","75 - Warren",27347,"2021","April","MS"
"76","76 - Washington",29096,"2021","April","MS"
"77","77 - Wayne",13502,"2021","April","MS"
"78","78 - Webster",6857,"2021","April","MS"
"79","79 - Wilkinson",6722,"2021","April","MS"
"80","80 - Winston",12325,"2021","April","MS"
"81","81 - Yalobusha",8661,"2021","April","MS"
"82","82 - Yazoo",19113,"2021","April","MS"
"83","01 - Adams",19402,"2021","August","MS"
"84","02 - Alcorn",24063,"2021","August","MS"
"85","03 - Amite",9779,"2021","August","MS"
"86","04 - Attala",12036,"2021","August","MS"
"87","05 - Benton",5933,"2021","August","MS"
"88","06 - Bolivar",22347,"2021","August","MS"
"89","07 - Calhoun",9297,"2021","August","MS"
"90","08 - Carroll",7243,"2021","August","MS"
"91","09 - Chickasaw",11741,"2021","August","MS"
"92","10 - Choctaw",4937,"2021","August","MS"
"93","11 - Claiborne",6321,"2021","August","MS"
"94","12 - Clarke",11197,"2021","August","MS"
"95","13 - Clay",13906,"2021","August","MS"
"96","14 - Coahoma",14788,"2021","August","MS"
"97","15 - Copiah",18714,"2021","August","MS"
"98","16 - Covington",13975,"2021","August","MS"
"99","17 - DeSoto",121192,"2021","August","MS"
"100","18 - Forrest",46371,"2021","August","MS"
"101","19 - Franklin",5794,"2021","August","MS"
"102","20 - George",15173,"2021","August","MS"
"103","21 - Greene",7539,"2021","August","MS"
"104","22 - Grenada",14984,"2021","August","MS"
"105","23 - Hancock",34412,"2021","August","MS"
"106","24 - Harrison",137979,"2021","August","MS"
"107","25 - Hinds",166289,"2021","August","MS"
"108","26 - Holmes",13111,"2021","August","MS"
"109","27 - Humphreys",6552,"2021","August","MS"
"110","28 - Issaquena",885,"2021","August","MS"
"111","29 - Itawamba",15219,"2021","August","MS"
"112","30 - Jackson",86335,"2021","August","MS"
"113","31 - Jasper",10897,"2021","August","MS"
"114","32 - Jefferson",5731,"2021","August","MS"
"115","33 - Jeff Davis",8584,"2021","August","MS"
"116","34 - Jones",44949,"2021","August","MS"
"117","35 - Kemper",7312,"2021","August","MS"
"118","36 - Lafayette",32108,"2021","August","MS"
"119","37 - Lamar",36947,"2021","August","MS"
"120","38 - Lauderdale",43216,"2021","August","MS"
"121","39 - Lawrence",8485,"2021","August","MS"
"122","40 - Leake",13437,"2021","August","MS"
"123","41 - Lee",52280,"2021","August","MS"
"124","42 - Leflore",20356,"2021","August","MS"
"125","43 - Lincoln",21779,"2021","August","MS"
"126","44 - Lowndes",37731,"2021","August","MS"
"127","45 - Madison",74742,"2021","August","MS"
"128","46 - Marion",16073,"2021","August","MS"
"129","47 - Marshall",24249,"2021","August","MS"
"130","48 - Monroe",24692,"2021","August","MS"
"131","49 - Montgomery",6367,"2021","August","MS"
"132","50 - Neshoba",17389,"2021","August","MS"
"133","51 - Newton",13390,"2021","August","MS"
"134","52 - Noxubee",7628,"2021","August","MS"
"135","53 - Oktibbeha",28441,"2021","August","MS"
"136","54 - Panola",22421,"2021","August","MS"
"137","55 - Pearl River",35508,"2021","August","MS"
"138","56 - Perry",8527,"2021","August","MS"
"139","57 - Pike",24689,"2021","August","MS"
"140","58 - Pontotoc",19713,"2021","August","MS"
"141","59 - Prentiss",14385,"2021","August","MS"
"142","60 - Quitman",4708,"2021","August","MS"
"143","61 - Rankin",98480,"2021","August","MS"
"144","62 - Scott",16684,"2021","August","MS"
"145","63 - Sharkey",3280,"2021","August","MS"
"146","64 - Simpson",17238,"2021","August","MS"
"147","65 - Smith",11401,"2021","August","MS"
"148","66 - Stone",10773,"2021","August","MS"
"149","67 - Sunflower",13338,"2021","August","MS"
"150","68 - Tallahatchie",9807,"2021","August","MS"
"151","69 - Tate",17608,"2021","August","MS"
"152","70 - Tippah",13776,"2021","August","MS"
"153","71 - Tishomingo",12675,"2021","August","MS"
"154","72 - Tunica",6240,"2021","August","MS"
"155","73 - Union",16270,"2021","August","MS"
"156","74 - Walthall",10098,"2021","August","MS"
"157","75 - Warren",26898,"2021","August","MS"
"158","76 - Washington",28781,"2021","August","MS"
"159","77 - Wayne",13289,"2021","August","MS"
"160","78 - Webster",6555,"2021","August","MS"
"161","79 - Wilkinson",6686,"2021","August","MS"
"162","80 - Winston",12328,"2021","August","MS"
"163","81 - Yalobusha",7911,"2021","August","MS"
"164","82 - Yazoo",19035,"2021","August","MS"
"165","01 - Adams",19066,"2021","December","MS"
"166","02 - Alcorn",23733,"2021","December","MS"
"167","03 - Amite",9770,"2021","December","MS"
"168","04 - Attala",11227,"2021","December","MS"
"169","05 - Benton",5861,"2021","December","MS"
"170","06 - Bolivar",19119,"2021","December","MS"
"171","07 - Calhoun",9191,"2021","December","MS"
"172","08 - Carroll",7217,"2021","December","MS"
"173","09 - Chickasaw",11684,"2021","December","MS"
"174","10 - Choctaw",4727,"2021","December","MS"
"175","11 - Claiborne",6229,"2021","December","MS"
"176","12 - Clarke",11158,"2021","December","MS"
"177","13 - Clay",13740,"2021","December","MS"
"178","14 - Coahoma",14743,"2021","December","MS"
"179","15 - Copiah",18105,"2021","December","MS"
"180","16 - Covington",13905,"2021","December","MS"
"181","17 - DeSoto",120975,"2021","December","MS"
"182","18 - Forrest",45406,"2021","December","MS"
"183","19 - Franklin",5776,"2021","December","MS"
"184","20 - George",15251,"2021","December","MS"
"185","21 - Greene",7453,"2021","December","MS"
"186","22 - Grenada",14957,"2021","December","MS"
"187","23 - Hancock",34482,"2021","December","MS"
"188","24 - Harrison",138687,"2021","December","MS"
"189","25 - Hinds",166516,"2021","December","MS"
"190","26 - Holmes",13066,"2021","December","MS"
"191","27 - Humphreys",6361,"2021","December","MS"
"192","28 - Issaquena",881,"2021","December","MS"
"193","29 - Itawamba",14803,"2021","December","MS"
"194","30 - Jackson",86212,"2021","December","MS"
"195","31 - Jasper",10960,"2021","December","MS"
"196","32 - Jefferson",5595,"2021","December","MS"
"197","33 - Jeff Davis",8341,"2021","December","MS"
"198","34 - Jones",44709,"2021","December","MS"
"199","35 - Kemper",7355,"2021","December","MS"
"200","36 - Lafayette",32497,"2021","December","MS"
"201","37 - Lamar",36678,"2021","December","MS"
"202","38 - Lauderdale",43000,"2021","December","MS"
"203","39 - Lawrence",8307,"2021","December","MS"
"204","40 - Leake",13290,"2021","December","MS"
"205","41 - Lee",50360,"2021","December","MS"
"206","42 - Leflore",19831,"2021","December","MS"
"207","43 - Lincoln",21734,"2021","December","MS"
"208","44 - Lowndes",37795,"2021","December","MS"
"209","45 - Madison",75012,"2021","December","MS"
"210","46 - Marion",15856,"2021","December","MS"
"211","47 - Marshall",24217,"2021","December","MS"
"212","48 - Monroe",24130,"2021","December","MS"
"213","49 - Montgomery",6336,"2021","December","MS"
"214","50 - Neshoba",17272,"2021","December","MS"
"215","51 - Newton",13205,"2021","December","MS"
"216","52 - Noxubee",7610,"2021","December","MS"
"217","53 - Oktibbeha",27750,"2021","December","MS"
"218","54 - Panola",22344,"2021","December","MS"
"219","55 - Pearl River",34739,"2021","December","MS"
"220","56 - Perry",8512,"2021","December","MS"
"221","57 - Pike",24673,"2021","December","MS"
"222","58 - Pontotoc",19631,"2021","December","MS"
"223","59 - Prentiss",14079,"2021","December","MS"
"224","60 - Quitman",4708,"2021","December","MS"
"225","61 - Rankin",98620,"2021","December","MS"
"226","62 - Scott",15204,"2021","December","MS"
"227","63 - Sharkey",3180,"2021","December","MS"
"228","64 - Simpson",17168,"2021","December","MS"
"229","65 - Smith",11392,"2021","December","MS"
"230","66 - Stone",10618,"2021","December","MS"
"231","67 - Sunflower",13252,"2021","December","MS"
"232","68 - Tallahatchie",9753,"2021","December","MS"
"233","69 - Tate",17530,"2021","December","MS"
"234","70 - Tippah",13790,"2021","December","MS"
"235","71 - Tishomingo",12726,"2021","December","MS"
"236","72 - Tunica",6233,"2021","December","MS"
"237","73 - Union",16259,"2021","December","MS"
"238","74 - Walthall",10056,"2021","December","MS"
"239","75 - Warren",26054,"2021","December","MS"
"240","76 - Washington",28420,"2021","December","MS"
"241","77 - Wayne",13310,"2021","December","MS"
"242","78 - Webster",6502,"2021","December","MS"
"243","79 - Wilkinson",6608,"2021","December","MS"
"244","80 - Winston",12178,"2021","December","MS"
"245","81 - Yalobusha",7842,"2021","December","MS"
