"","county","count","month","year","state"
"1","Adams","19243","April","2019","NE"
"2","Antelope","4431","April","2019","NE"
"3","Arthur","330","April","2019","NE"
"4","Banner","528","April","2019","NE"
"5","Blaine","388","April","2019","NE"
"6","Boone","3660","April","2019","NE"
"7","Box Butte","7593","April","2019","NE"
"8","Boyd","1379","April","2019","NE"
"9","Brown","2085","April","2019","NE"
"10","Buffalo","29573","April","2019","NE"
"11","Burt","4785","April","2019","NE"
"12","Butler","5487","April","2019","NE"
"13","Cass","17675","April","2019","NE"
"14","Cedar","5612","April","2019","NE"
"15","Chase","2479","April","2019","NE"
"16","Cherry","4058","April","2019","NE"
"17","Cheyenne","6250","April","2019","NE"
"18","Clay","4263","April","2019","NE"
"19","Colfax","5111","April","2019","NE"
"20","Cuming","5708","April","2019","NE"
"21","Custer","7798","April","2019","NE"
"22","Dakota","10630","April","2019","NE"
"23","Dawes","5392","April","2019","NE"
"24","Dawson","13412","April","2019","NE"
"25","Deuel","1384","April","2019","NE"
"26","Dixon","3726","April","2019","NE"
"27","Dodge","21961","April","2019","NE"
"28","Douglas","352225","April","2019","NE"
"29","Dundy","1243","April","2019","NE"
"30","Fillmore","3951","April","2019","NE"
"31","Franklin","2232","April","2019","NE"
"32","Frontier","1824","April","2019","NE"
"33","Furnas","3375","April","2019","NE"
"34","Gage","14067","April","2019","NE"
"35","Garden","1351","April","2019","NE"
"36","Garfield","1274","April","2019","NE"
"37","Gosper","1422","April","2019","NE"
"38","Grant","486","April","2019","NE"
"39","Greeley","1565","April","2019","NE"
"40","Hall","33070","April","2019","NE"
"41","Hamilton","6589","April","2019","NE"
"42","Harlan","2413","April","2019","NE"
"43","Hayes","692","April","2019","NE"
"44","Hitchcock","1903","April","2019","NE"
"45","Holt","6964","April","2019","NE"
"46","Hooker","528","April","2019","NE"
"47","Howard","4437","April","2019","NE"
"48","Jefferson","4884","April","2019","NE"
"49","Johnson","2748","April","2019","NE"
"50","Kearney","4429","April","2019","NE"
"51","Keith","5928","April","2019","NE"
"52","Keya Paha","632","April","2019","NE"
"53","Kimball","2735","April","2019","NE"
"54","Knox","5573","April","2019","NE"
"55","Lancaster","190235","April","2019","NE"
"56","Lincoln","23532","April","2019","NE"
"57","Logan","543","April","2019","NE"
"58","Loup","504","April","2019","NE"
"59","Madison","21275","April","2019","NE"
"60","Mcpherson","338","April","2019","NE"
"61","Merrick","4663","April","2019","NE"
"62","Morrill","3031","April","2019","NE"
"63","Nance","2338","April","2019","NE"
"64","Nemaha","4435","April","2019","NE"
"65","Nuckolls","3127","April","2019","NE"
"66","Otoe","10446","April","2019","NE"
"67","Pawnee","1807","April","2019","NE"
"68","Perkins","1936","April","2019","NE"
"69","Phelps","6113","April","2019","NE"
"70","Pierce","4830","April","2019","NE"
"71","Platte","20025","April","2019","NE"
"72","Polk","3501","April","2019","NE"
"73","Red Willow","7006","April","2019","NE"
"74","Richardson","5419","April","2019","NE"
"75","Rock","1007","April","2019","NE"
"76","Saline","7754","April","2019","NE"
"77","Sarpy","112029","April","2019","NE"
"78","Saunders","14786","April","2019","NE"
"79","Scotts Bluff","23800","April","2019","NE"
"80","Seward","10962","April","2019","NE"
"81","Sheridan","3718","April","2019","NE"
"82","Sherman","1992","April","2019","NE"
"83","Sioux","880","April","2019","NE"
"84","Stanton","3756","April","2019","NE"
"85","Thayer","3692","April","2019","NE"
"86","Thomas","499","April","2019","NE"
"87","Thurston","4421","April","2019","NE"
"88","Valley","2971","April","2019","NE"
"89","Washington","14330","April","2019","NE"
"90","Wayne","5254","April","2019","NE"
"91","Webster","2293","April","2019","NE"
"92","Wheeler","602","April","2019","NE"
"93","York","9777","April","2019","NE"
"94","Grand Total","1203108","April","2019","NE"
"95","Adams","19186","August","2019","NE"
"96","Antelope","4439","August","2019","NE"
"97","Arthur","329","August","2019","NE"
"98","Banner","527","August","2019","NE"
"99","Blaine","389","August","2019","NE"
"100","Boone","3630","August","2019","NE"
"101","Box Butte","7554","August","2019","NE"
"102","Boyd","1369","August","2019","NE"
"103","Brown","2098","August","2019","NE"
"104","Buffalo","29617","August","2019","NE"
"105","Burt","4766","August","2019","NE"
"106","Butler","5475","August","2019","NE"
"107","Cass","17732","August","2019","NE"
"108","Cedar","5620","August","2019","NE"
"109","Chase","2462","August","2019","NE"
"110","Cherry","3948","August","2019","NE"
"111","Cheyenne","6238","August","2019","NE"
"112","Clay","4215","August","2019","NE"
"113","Colfax","5072","August","2019","NE"
"114","Cuming","5696","August","2019","NE"
"115","Custer","7804","August","2019","NE"
"116","Dakota","10609","August","2019","NE"
"117","Dawes","5394","August","2019","NE"
"118","Dawson","13380","August","2019","NE"
"119","Deuel","1396","August","2019","NE"
"120","Dixon","3725","August","2019","NE"
