"","county","count","month","year","state"
"1","ATLANTIC","176475","January","2017","NJ"
"2","BERGEN","590530","January","2017","NJ"
"3","BURLINGTON","316066","January","2017","NJ"
"4","CAMDEN","348989","January","2017","NJ"
"5","CAPE MAY","70401","January","2017","NJ"
"6","CUMBERLAND","92069","January","2017","NJ"
"7","ESSEX","537781","January","2017","NJ"
"8","GLOUCESTER","208250","January","2017","NJ"
"9","HUDSON","348967","January","2017","NJ"
"10","HUNTERDON","96767","January","2017","NJ"
"11","MERCER","237144","January","2017","NJ"
"12","MIDDLESEX","520880","January","2017","NJ"
"13","MONMOUTH","449922","January","2017","NJ"
"14","MORRIS","353406","January","2017","NJ"
"15","OCEAN","402101","January","2017","NJ"
"16","PASSAIC","303706","January","2017","NJ"
"17","SALEM","44932","January","2017","NJ"
"18","SOMERSET","225025","January","2017","NJ"
"19","SUSSEX","104505","January","2017","NJ"
"20","UNION","331097","January","2017","NJ"
"21","WARREN","77581","January","2017","NJ"
"22","ATLANTIC","177721","February","2017","NJ"
"23","BERGEN","591602","February","2017","NJ"
"24","BURLINGTON","306220","February","2017","NJ"
"25","CAMDEN","350412","February","2017","NJ"
"26","CAPE MAY","69316","February","2017","NJ"
"27","CUMBERLAND","92187","February","2017","NJ"
"28","ESSEX","539066","February","2017","NJ"
"29","GLOUCESTER","209014","February","2017","NJ"
"30","HUDSON","349733","February","2017","NJ"
"31","HUNTERDON","94751","February","2017","NJ"
"32","MERCER","237519","February","2017","NJ"
"33","MIDDLESEX","520120","February","2017","NJ"
"34","MONMOUTH","441221","February","2017","NJ"
"35","MORRIS","346635","February","2017","NJ"
"36","OCEAN","403275","February","2017","NJ"
"37","PASSAIC","304210","February","2017","NJ"
"38","SALEM","45102","February","2017","NJ"
"39","SOMERSET","225488","February","2017","NJ"
"40","SUSSEX","104562","February","2017","NJ"
"41","UNION","331974","February","2017","NJ"
"42","WARREN","78081","February","2017","NJ"
"43","ATLANTIC","179151","March","2017","NJ"
"44","BERGEN","593521","March","2017","NJ"
"45","BURLINGTON","305967","March","2017","NJ"
"46","CAMDEN","351051","March","2017","NJ"
"47","CAPE MAY","69311","March","2017","NJ"
"48","CUMBERLAND","92338","March","2017","NJ"
"49","ESSEX","539169","March","2017","NJ"
"50","GLOUCESTER","209390","March","2017","NJ"
"51","HUDSON","336792","March","2017","NJ"
"52","HUNTERDON","94892","March","2017","NJ"
"53","MERCER","237958","March","2017","NJ"
"54","MIDDLESEX","519237","March","2017","NJ"
"55","MONMOUTH","441790","March","2017","NJ"
"56","MORRIS","346767","March","2017","NJ"
"57","OCEAN","404579","March","2017","NJ"
"58","PASSAIC","305585","March","2017","NJ"
"59","SALEM","43680","March","2017","NJ"
"60","SOMERSET","225748","March","2017","NJ"
"61","SUSSEX","102100","March","2017","NJ"
"62","UNION","333703","March","2017","NJ"
"63","WARREN","72435","March","2017","NJ"
"64","ATLANTIC","176126","April","2017","NJ"
"65","BERGEN","586854","April","2017","NJ"
"66","BURLINGTON","306340","April","2017","NJ"
"67","CAMDEN","351281","April","2017","NJ"
