"","county","count","year","month","state"
"1","Adair",11825,"2017","1","OK"
"2","Alfalfa",3014,"2017","1","OK"
"3","Atoka",7683,"2017","1","OK"
"4","Beaver",3193,"2017","1","OK"
"5","Beckham",11506,"2017","1","OK"
"6","Blaine",5453,"2017","1","OK"
"7","Bryan",25344,"2017","1","OK"
"8","Caddo",14104,"2017","1","OK"
"9","Canadian",76292,"2017","1","OK"
"10","Carter",30631,"2017","1","OK"
"11","Cherokee",24803,"2017","1","OK"
"12","Choctaw",8898,"2017","1","OK"
"13","Cimarron",1674,"2017","1","OK"
"14","Cleveland",159517,"2017","1","OK"
"15","Coal",3889,"2017","1","OK"
"16","Comanche",56118,"2017","1","OK"
"17","Cotton",3781,"2017","1","OK"
"18","Craig",8197,"2017","1","OK"
"19","Creek",39735,"2017","1","OK"
"20","Custer",16499,"2017","1","OK"
"21","Delaware",23440,"2017","1","OK"
"22","Dewey",2962,"2017","1","OK"
"23","Ellis",2558,"2017","1","OK"
"24","Garfield",30773,"2017","1","OK"
"25","Garvin",15744,"2017","1","OK"
"26","Grady",32373,"2017","1","OK"
"27","Grant",2961,"2017","1","OK"
"28","Greer",2897,"2017","1","OK"
"29","Harmon",1519,"2017","1","OK"
"30","Harper",2052,"2017","1","OK"
"31","Haskell",7192,"2017","1","OK"
"32","Hughes",6804,"2017","1","OK"
"33","Jackson",12032,"2017","1","OK"
"34","Jefferson",3616,"2017","1","OK"
"35","Johnston",6148,"2017","1","OK"
"36","Kay",25086,"2017","1","OK"
"37","Kingfisher",8316,"2017","1","OK"
"38","Kiowa",4985,"2017","1","OK"
"39","Latimer",6488,"2017","1","OK"
"40","LeFlore",28139,"2017","1","OK"
"41","Lincoln",19519,"2017","1","OK"
"42","Logan",27573,"2017","1","OK"
"43","Love",6100,"2017","1","OK"
"44","Major",4426,"2017","1","OK"
"45","Marshall",8190,"2017","1","OK"
"46","Mayes",22227,"2017","1","OK"
"47","McClain",23378,"2017","1","OK"
"48","McCurtain",16210,"2017","1","OK"
"49","McIntosh",12295,"2017","1","OK"
"50","Murray",7854,"2017","1","OK"
"51","Muskogee",38931,"2017","1","OK"
"52","Noble",6523,"2017","1","OK"
"53","Nowata",6258,"2017","1","OK"
"54","Okfuskee",6020,"2017","1","OK"
"55","Oklahoma",417901,"2017","1","OK"
"56","Okmulgee",21042,"2017","1","OK"
"57","Osage",27046,"2017","1","OK"
"58","Ottawa",16828,"2017","1","OK"
"59","Pawnee",9184,"2017","1","OK"
"60","Payne",41631,"2017","1","OK"
"61","Pittsburg",27346,"2017","1","OK"
"62","Pontotoc",21821,"2017","1","OK"
"63","Pottawatomie",38685,"2017","1","OK"
"64","Pushmataha",6992,"2017","1","OK"
"65","Roger Mills",2392,"2017","1","OK"
"66","Rogers",56705,"2017","1","OK"
"67","Seminole",12254,"2017","1","OK"
"68","Sequoyah",22333,"2017","1","OK"
"69","Stephens",26516,"2017","1","OK"
"70","Texas",9443,"2017","1","OK"
"71","Tillman",4326,"2017","1","OK"
"72","Tulsa",359073,"2017","1","OK"
"73","Wagoner",42624,"2017","1","OK"
"74","Washington",32277,"2017","1","OK"
"75","Washita",6621,"2017","1","OK"
"76","Woods",5015,"2017","1","OK"
"77","Woodward",11318,"2017","1","OK"
"78","Adair",10578,"2017","10","OK"
"79","Alfalfa",2807,"2017","10","OK"
"80","Atoka",7147,"2017","10","OK"
"81","Beaver",2987,"2017","10","OK"
"82","Beckham",10806,"2017","10","OK"
"83","Blaine",5151,"2017","10","OK"
"84","Bryan",22655,"2017","10","OK"
"85","Caddo",13162,"2017","10","OK"
"86","Canadian",73544,"2017","10","OK"
"87","Carter",28669,"2017","10","OK"
"88","Cherokee",22734,"2017","10","OK"
"89","Choctaw",8125,"2017","10","OK"
"90","Cimarron",1545,"2017","10","OK"
"91","Cleveland",149116,"2017","10","OK"
"92","Coal",3649,"2017","10","OK"
"93","Comanche",51031,"2017","10","OK"
"94","Cotton",3500,"2017","10","OK"
"95","Craig",7619,"2017","10","OK"
"96","Creek",37659,"2017","10","OK"
"97","Custer",15552,"2017","10","OK"
"98","Delaware",21427,"2017","10","OK"
"99","Dewey",2824,"2017","10","OK"
"100","Ellis",2423,"2017","10","OK"
"101","Garfield",28838,"2017","10","OK"
"102","Garvin",14860,"2017","10","OK"
"103","Grady",30670,"2017","10","OK"
"104","Grant",2765,"2017","10","OK"
"105","Greer",2645,"2017","10","OK"
"106","Harmon",1357,"2017","10","OK"
"107","Harper",1914,"2017","10","OK"
"108","Haskell",6609,"2017","10","OK"
"109","Hughes",6339,"2017","10","OK"
"110","Jackson",11027,"2017","10","OK"
"111","Jefferson",3339,"2017","10","OK"
"112","Johnston",5787,"2017","10","OK"
"113","Kay",23144,"2017","10","OK"
"114","Kingfisher",7845,"2017","10","OK"
"115","Kiowa",4708,"2017","10","OK"
"116","Latimer",5944,"2017","10","OK"
"117","LeFlore",26157,"2017","10","OK"
"118","Lincoln",18559,"2017","10","OK"
"119","Logan",25433,"2017","10","OK"
"120","Love",5806,"2017","10","OK"
"121","Major",4170,"2017","10","OK"
"122","Marshall",7771,"2017","10","OK"
"123","Mayes",20979,"2017","10","OK"
"124","McClain",22501,"2017","10","OK"
