"","county","count","year","month","state"
"1","Aurora","1882","2017","January","SD"
"2","Beadle","10144","2017","January","SD"
"3","Bennett","1918","2017","January","SD"
"4","Bon Homme","4004","2017","January","SD"
"5","Brookings","18378","2017","January","SD"
"6","Brown","23476","2017","January","SD"
"7","Brule","3367","2017","January","SD"
"8","Buffalo","944","2017","January","SD"
"9","Butte","6743","2017","January","SD"
"10","Campbell","1149","2017","January","SD"
"11","Charles Mix","5464","2017","January","SD"
"12","Clark","2555","2017","January","SD"
"13","Clay","7775","2017","January","SD"
"14","Codington","16778","2017","January","SD"
"15","Corson","2382","2017","January","SD"
"16","Custer","6401","2017","January","SD"
"17","Davison","11563","2017","January","SD"
"18","Day","4138","2017","January","SD"
"19","Deuel","2885","2017","January","SD"
"20","Dewey","3379","2017","January","SD"
"21","Douglas","2120","2017","January","SD"
"22","Edmunds","2810","2017","January","SD"
"23","Fall River","5141","2017","January","SD"
"24","Faulk","1547","2017","January","SD"
"25","Grant","4878","2017","January","SD"
"26","Gregory","2832","2017","January","SD"
"27","Haakon","1380","2017","January","SD"
"28","Hamlin","3848","2017","January","SD"
"29","Hand","2450","2017","January","SD"
"30","Hanson","3405","2017","January","SD"
"31","Harding","970","2017","January","SD"
"32","Hughes","11156","2017","January","SD"
"33","Hutchinson","4856","2017","January","SD"
"34","Hyde","1005","2017","January","SD"
"35","Jackson","1883","2017","January","SD"
"36","Jerauld","1275","2017","January","SD"
"37","Jones","710","2017","January","SD"
"38","Kingsbury","  3482","2017","January","SD"
"39","Lake"," 10173","2017","January","SD"
"40","Lawrence"," 17139","2017","January","SD"
"41","Lincoln"," 35134","2017","January","SD"
"42","Lyman","  2282","2017","January","SD"
"43","Marshall","  2804","2017","January","SD"
"44","McCook","  3652","2017","January","SD"
"45","McPherson","  1849","2017","January","SD"
"46","Meade"," 16497","2017","January","SD"
"47","Mellette","  1170","2017","January","SD"
"48","Miner","  1556","2017","January","SD"
"49","Minnehaha","116065","2017","January","SD"
"50","Moody","  4213","2017","January","SD"
"51","Oglala Lakota","  8067","2017","January","SD"
"52","Pennington"," 71949","2017","January","SD"
"53","Perkins","  2192","2017","January","SD"
"54","Potter","  1867","2017","January","SD"
"55","Roberts","  6559","2017","January","SD"
"56","Sanborn","  1600","2017","January","SD"
"57","Spink","  4254","2017","January","SD"
"58","Stanley","  2150","2017","January","SD"
"59","Sully","  1111","2017","January","SD"
"60","Todd","  4704","2017","January","SD"
"61","Tripp","  3762","2017","January","SD"
"62","Turner","  5622","2017","January","SD"
"63","Union"," 11313","2017","January","SD"
"64","Walworth","  3746","2017","January","SD"
"65","Yankton"," 13729","2017","January","SD"
"66","Ziebach","  1601","2017","January","SD"
"67","Aurora","1825","2017","October","SD"
"68","Beadle","9795","2017","October","SD"
"69","Bennett","1787","2017","October","SD"
"70","Bon Homme","3870","2017","October","SD"
"71","Brookings","17523","2017","October","SD"
"72","Brown","22430","2017","October","SD"
"73","Brule","3191","2017","October","SD"
"74","Buffalo","895","2017","October","SD"
"75","Butte","5987","2017","October","SD"
"76","Campbell","1086","2017","October","SD"
"77","Charles Mix","5483","2017","October","SD"
"78","Clark","2464","2017","October","SD"
"79","Clay","7278","2017","October","SD"
"80","Codington","16274","2017","October","SD"
"81","Corson","2246","2017","October","SD"
"82","Custer","6314","2017","October","SD"
"83","Davison","11039","2017","October","SD"
"84","Day","3969","2017","October","SD"
"85","Deuel","2908","2017","October","SD"
"86","Dewey","3300","2017","October","SD"
"87","Douglas","2050","2017","October","SD"
"88","Edmunds","2680","2017","October","SD"
"89","Fall River","4934","2017","October","SD"
"90","Faulk","1557","2017","October","SD"
"91","Grant","4712","2017","October","SD"
"92","Gregory","2722","2017","October","SD"
"93","Haakon","1368","2017","October","SD"
"94","Hamlin","3673","2017","October","SD"
"95","Hand","2361","2017","October","SD"
"96","Hanson","3038","2017","October","SD"
"97","Harding","930","2017","October","SD"
"98","Hughes","10907","2017","October","SD"
"99","Hutchinson","4905","2017","October","SD"
"100","Hyde","999","2017","October","SD"
"101","Jackson","1889","2017","October","SD"
"102","Jerauld","1261","2017","October","SD"
"103","Jones","677","2017","October","SD"
"104","Kingsbury","  3356","2017","October","SD"
"105","Lake","  9699","2017","October","SD"
"106","Lawrence"," 16086","2017","October","SD"
"107","Lincoln"," 34696","2017","October","SD"
"108","Lyman","  2202","2017","October","SD"
"109","Marshall","  2740","2017","October","SD"
"110","McCook","  3548","2017","October","SD"
"111","McPherson","  1741","2017","October","SD"
"112","Meade"," 16066","2017","October","SD"
"113","Mellette","  1092","2017","October","SD"
"114","Miner","  1484","2017","October","SD"
"115","Minnehaha","115389","2017","October","SD"
"116","Moody","  3995","2017","October","SD"
"117","Oglala Lakota","  7852","2017","October","SD"
"118","Pennington"," 71665","2017","October","SD"
"119","Perkins","  2131","2017","October","SD"
"120","Potter","  1728","2017","October","SD"
"121","Roberts","  6243","2017","October","SD"
"122","Sanborn","  1541","2017","October","SD"
"123","Spink","  4218","2017","October","SD"
"124","Stanley","  2039","2017","October","SD"
"125","Sully","  1080","2017","October","SD"
"126","Todd","  4489","2017","October","SD"
"127","Tripp","  3635","2017","October","SD"
"128","Turner","  5527","2017","October","SD"
"129","Union"," 10865","2017","October","SD"
"130","Walworth","  3711","2017","October","SD"
"131","Yankton"," 13198","2017","October","SD"
"132","Ziebach","  1531","2017","October","SD"
"133","Aurora","1822","2017","November","SD"
"134","Beadle","9802","2017","November","SD"
"135","Bennett","1789","2017","November","SD"
"136","Bon Homme","3853","2017","November","SD"
"137","Brookings","17575","2017","November","SD"
"138","Brown","22452","2017","November","SD"
"139","Brule","3195","2017","November","SD"
"140","Buffalo","895","2017","November","SD"
"141","Butte","5995","2017","November","SD"
"142","Campbell","1086","2017","November","SD"
"143","Charles Mix","5474","2017","November","SD"
"144","Clark","2463","2017","November","SD"
"145","Clay","7299","2017","November","SD"
"146","Codington","16142","2017","November","SD"
"147","Corson","2252","2017","November","SD"
"148","Custer","6296","2017","November","SD"
"149","Davison","11044","2017","November","SD"
"150","Day","3960","2017","November","SD"
"151","Deuel","2907","2017","November","SD"
"152","Dewey","3293","2017","November","SD"
"153","Douglas","2050","2017","November","SD"
"154","Edmunds","2675","2017","November","SD"
"155","Fall River","4936","2017","November","SD"
"156","Faulk","1554","2017","November","SD"
"157","Grant","4708","2017","November","SD"
"158","Gregory","2717","2017","November","SD"
"159","Haakon","1365","2017","November","SD"
"160","Hamlin","3674","2017","November","SD"
"161","Hand","2366","2017","November","SD"
"162","Hanson","3035","2017","November","SD"
"163","Harding","932","2017","November","SD"
"164","Hughes","10921","2017","November","SD"
"165","Hutchinson","4905","2017","November","SD"
"166","Hyde","948","2017","November","SD"
"167","Jackson","1862","2017","November","SD"
"168","Jerauld","1262","2017","November","SD"
"169","Jones","674","2017","November","SD"
"170","Kingsbury","  3359","2017","November","SD"
"171","Lake","  9738","2017","November","SD"
"172","Lawrence"," 16130","2017","November","SD"
"173","Lincoln"," 34318","2017","November","SD"
"174","Lyman","  2199","2017","November","SD"
"175","Marshall","  2741","2017","November","SD"
"176","McCook","  3538","2017","November","SD"
"177","McPherson","  1733","2017","November","SD"
"178","Meade"," 16112","2017","November","SD"
"179","Mellette","  1089","2017","November","SD"
"180","Miner","  1480","2017","November","SD"
"181","Minnehaha","115903","2017","November","SD"
"182","Moody","  3992","2017","November","SD"
"183","Oglala Lakota","  7718","2017","November","SD"
"184","Pennington"," 71734","2017","November","SD"
"185","Perkins","  2133","2017","November","SD"
"186","Potter","  1726","2017","November","SD"
"187","Roberts","  6242","2017","November","SD"
"188","Sanborn","  1537","2017","November","SD"
"189","Spink","  4123","2017","November","SD"
"190","Stanley","  2034","2017","November","SD"
"191","Sully","  1077","2017","November","SD"
"192","Todd","  4495","2017","November","SD"
"193","Tripp","  3635","2017","November","SD"
"194","Turner","  5531","2017","November","SD"
"195","Union"," 10852","2017","November","SD"
"196","Walworth","  3724","2017","November","SD"
"197","Yankton"," 13203","2017","November","SD"
"198","Ziebach","  1534","2017","November","SD"
"199","Aurora","1821","2017","December","SD"
"200","Beadle","9810","2017","December","SD"
"201","Bennett","1782","2017","December","SD"
"202","Bon Homme","3842","2017","December","SD"
"203","Brookings","17604","2017","December","SD"
"204","Brown","22463","2017","December","SD"
"205","Brule","3197","2017","December","SD"
"206","Buffalo","898","2017","December","SD"
"207","Butte","6003","2017","December","SD"
"208","Campbell","1080","2017","December","SD"
"209","Charles Mix","5480","2017","December","SD"
"210","Clark","2452","2017","December","SD"
"211","Clay","7298","2017","December","SD"
"212","Codington","16169","2017","December","SD"
