"","county","count","month","year","state"
"1","BARBOUR",9985,"Apr","2017","WV"
"2","BERKELEY",73035,"Apr","2017","WV"
"3","BOONE",15014,"Apr","2017","WV"
"4","BRAXTON",8072,"Apr","2017","WV"
"5","BROOKE",19079,"Apr","2017","WV"
"6","CABELL",52599,"Apr","2017","WV"
"7","CALHOUN",4724,"Apr","2017","WV"
"8","CLAY",5374,"Apr","2017","WV"
"9","DODDRIDGE",4704,"Apr","2017","WV"
"10","FAYETTE",27457,"Apr","2017","WV"
"11","GILMER",4653,"Apr","2017","WV"
"12","GRANT",7069,"Apr","2017","WV"
"13","GREENBRIER",26851,"Apr","2017","WV"
"14","HAMPSHIRE",13780,"Apr","2017","WV"
"15","HANCOCK",23670,"Apr","2017","WV"
"16","HARDY",9326,"Apr","2017","WV"
"17","HARRISON",42519,"Apr","2017","WV"
"18","JACKSON",20987,"Apr","2017","WV"
"19","JEFFERSON",38159,"Apr","2017","WV"
"20","KANAWHA",141678,"Apr","2017","WV"
"21","LEWIS",9580,"Apr","2017","WV"
"22","LINCOLN",13016,"Apr","2017","WV"
"23","LOGAN",24642,"Apr","2017","WV"
"24","MARION",40648,"Apr","2017","WV"
"25","MARSHALL",20730,"Apr","2017","WV"
"26","MASON",18099,"Apr","2017","WV"
"27","MCDOWELL",17470,"Apr","2017","WV"
"28","MERCER",40371,"Apr","2017","WV"
"29","MINERAL",19395,"Apr","2017","WV"
"30","MINGO",19519,"Apr","2017","WV"
"31","MONONGALIA",66509,"Apr","2017","WV"
"32","MONROE",10391,"Apr","2017","WV"
"33","MORGAN",13170,"Apr","2017","WV"
"34","NICHOLAS",15507,"Apr","2017","WV"
"35","OHIO",29188,"Apr","2017","WV"
"36","PENDLETON",4894,"Apr","2017","WV"
"37","PLEASANTS",5227,"Apr","2017","WV"
"38","POCAHONTAS",5482,"Apr","2017","WV"
"39","PRESTON",18478,"Apr","2017","WV"
"40","PUTNAM",39366,"Apr","2017","WV"
"41","RALEIGH",50916,"Apr","2017","WV"
"42","RANDOLPH",17912,"Apr","2017","WV"
"43","RITCHIE",5880,"Apr","2017","WV"
"44","ROANE",9544,"Apr","2017","WV"
"45","SUMMERS",9094,"Apr","2017","WV"
"46","TAYLOR",10765,"Apr","2017","WV"
"47","TUCKER",5658,"Apr","2017","WV"
"48","TYLER",6400,"Apr","2017","WV"
"49","UPSHUR",13164,"Apr","2017","WV"
"50","WAYNE",25939,"Apr","2017","WV"
"51","WEBSTER",5194,"Apr","2017","WV"
"52","WETZEL",11820,"Apr","2017","WV"
"53","WIRT",4351,"Apr","2017","WV"
"54","WOOD",56262,"Apr","2017","WV"
"55","WYOMING",17555,"Apr","2017","WV"
"56","WEST VIRGINIA",1230871,"Apr","2017","WV"
"57","BARBOUR",9954,"Aug","2017","WV"
"58","BERKELEY",73261,"Aug","2017","WV"
"59","BOONE",14998,"Aug","2017","WV"
"60","BRAXTON",8074,"Aug","2017","WV"
"61","BROOKE",18436,"Aug","2017","WV"
"62","CABELL",52844,"Aug","2017","WV"
"63","CALHOUN",4690,"Aug","2017","WV"
"64","CLAY",5363,"Aug","2017","WV"
"65","DODDRIDGE",4611,"Aug","2017","WV"
"66","FAYETTE",27287,"Aug","2017","WV"
"67","GILMER",4607,"Aug","2017","WV"
"68","GRANT",7086,"Aug","2017","WV"
"69","GREENBRIER",26574,"Aug","2017","WV"
"70","HAMPSHIRE",13802,"Aug","2017","WV"
"71","HANCOCK",23400,"Aug","2017","WV"
"72","HARDY",8658,"Aug","2017","WV"
"73","HARRISON",42527,"Aug","2017","WV"
"74","JACKSON",20841,"Aug","2017","WV"
"75","JEFFERSON",38282,"Aug","2017","WV"
"76","KANAWHA",140848,"Aug","2017","WV"
"77","LEWIS",9587,"Aug","2017","WV"
"78","LINCOLN",12993,"Aug","2017","WV"
"79","LOGAN",24591,"Aug","2017","WV"
"80","MARION",40514,"Aug","2017","WV"
"81","MARSHALL",20721,"Aug","2017","WV"
"82","MASON",17986,"Aug","2017","WV"
"83","MCDOWELL",16968,"Aug","2017","WV"
"84","MERCER",39994,"Aug","2017","WV"
"85","MINERAL",17898,"Aug","2017","WV"
"86","MINGO",19429,"Aug","2017","WV"
"87","MONONGALIA",66420,"Aug","2017","WV"
"88","MONROE",10163,"Aug","2017","WV"
"89","MORGAN",13144,"Aug","2017","WV"
"90","NICHOLAS",15424,"Aug","2017","WV"
"91","OHIO",28463,"Aug","2017","WV"
"92","PENDLETON",4907,"Aug","2017","WV"
"93","PLEASANTS",5155,"Aug","2017","WV"
"94","POCAHONTAS",5485,"Aug","2017","WV"
"95","PRESTON",18504,"Aug","2017","WV"
"96","PUTNAM",39373,"Aug","2017","WV"
"97","RALEIGH",50632,"Aug","2017","WV"
"98","RANDOLPH",17740,"Aug","2017","WV"
"99","RITCHIE",5866,"Aug","2017","WV"
"100","ROANE",9534,"Aug","2017","WV"
"101","SUMMERS",8998,"Aug","2017","WV"
"102","TAYLOR",10722,"Aug","2017","WV"
"103","TUCKER",5604,"Aug","2017","WV"
"104","TYLER",6341,"Aug","2017","WV"
"105","UPSHUR",13164,"Aug","2017","WV"
"106","WAYNE",25827,"Aug","2017","WV"
"107","WEBSTER",5194,"Aug","2017","WV"
"108","WETZEL",11697,"Aug","2017","WV"
"109","WIRT",4211,"Aug","2017","WV"
"110","WOOD",56035,"Aug","2017","WV"
"111","WYOMING",17327,"Aug","2017","WV"
"112","WEST VIRGINIA",1222754,"Aug","2017","WV"
"113","BARBOUR",10046,"Dec","2017","WV"
"114","BERKELEY",74527,"Dec","2017","WV"
"115","BOONE",15258,"Dec","2017","WV"
"116","BRAXTON",8153,"Dec","2017","WV"
"117","BROOKE",18366,"Dec","2017","WV"
"118","CABELL",53033,"Dec","2017","WV"
"119","CALHOUN",4699,"Dec","2017","WV"
"120","CLAY",5338,"Dec","2017","WV"
"121","DODDRIDGE",4609,"Dec","2017","WV"
"122","FAYETTE",27253,"Dec","2017","WV"
"123","GILMER",4623,"Dec","2017","WV"
"124","GRANT",7139,"Dec","2017","WV"
"125","GREENBRIER",26682,"Dec","2017","WV"
"126","HAMPSHIRE",13853,"Dec","2017","WV"
"127","HANCOCK",23324,"Dec","2017","WV"
"128","HARDY",8725,"Dec","2017","WV"
"129","HARRISON",42978,"Dec","2017","WV"
"130","JACKSON",21152,"Dec","2017","WV"
"131","JEFFERSON",38780,"Dec","2017","WV"
"132","KANAWHA",141466,"Dec","2017","WV"
"133","LEWIS",9673,"Dec","2017","WV"
"134","LINCOLN",13065,"Dec","2017","WV"
"135","LOGAN",24794,"Dec","2017","WV"
"136","MARION",40694,"Dec","2017","WV"
"137","MARSHALL",20873,"Dec","2017","WV"
"138","MASON",17979,"Dec","2017","WV"
"139","MCDOWELL",16937,"Dec","2017","WV"
"140","MERCER",40059,"Dec","2017","WV"
"141","MINERAL",17908,"Dec","2017","WV"
"142","MINGO",19416,"Dec","2017","WV"
"143","MONONGALIA",66668,"Dec","2017","WV"
"144","MONROE",8753,"Dec","2017","WV"
"145","MORGAN",13239,"Dec","2017","WV"
"146","NICHOLAS",15620,"Dec","2017","WV"
"147","OHIO",28463,"Dec","2017","WV"
"148","PENDLETON",4949,"Dec","2017","WV"
"149","PLEASANTS",5137,"Dec","2017","WV"
"150","POCAHONTAS",5474,"Dec","2017","WV"
"151","PRESTON",18606,"Dec","2017","WV"
"152","PUTNAM",39928,"Dec","2017","WV"
"153","RALEIGH",50967,"Dec","2017","WV"
"154","RANDOLPH",17787,"Dec","2017","WV"
"155","RITCHIE",5896,"Dec","2017","WV"
"156","ROANE",9570,"Dec","2017","WV"
"157","SUMMERS",8984,"Dec","2017","WV"
"158","TAYLOR",10717,"Dec","2017","WV"
"159","TUCKER",5628,"Dec","2017","WV"
"160","TYLER",6389,"Dec","2017","WV"
"161","UPSHUR",13194,"Dec","2017","WV"
"162","WAYNE",26114,"Dec","2017","WV"
"163","WEBSTER",5155,"Dec","2017","WV"
"164","WETZEL",11700,"Dec","2017","WV"
"165","WIRT",4219,"Dec","2017","WV"
"166","WOOD",56254,"Dec","2017","WV"
"167","WYOMING",17310,"Dec","2017","WV"
"168","WEST VIRGINIA",1228123,"Dec","2017","WV"
"169","BARBOUR",9942,"Feb","2017","WV"
"170","BERKELEY",72462,"Feb","2017","WV"
"171","BOONE",15006,"Feb","2017","WV"
"172","BRAXTON",8029,"Feb","2017","WV"
"173","BROOKE",19064,"Feb","2017","WV"
"174","CABELL",53552,"Feb","2017","WV"
"175","CALHOUN",4724,"Feb","2017","WV"
"176","CLAY",5393,"Feb","2017","WV"
"177","DODDRIDGE",4701,"Feb","2017","WV"
"178","FAYETTE",27263,"Feb","2017","WV"
"179","GILMER",4655,"Feb","2017","WV"
"180","GRANT",7064,"Feb","2017","WV"
"181","GREENBRIER",26845,"Feb","2017","WV"
"182","HAMPSHIRE",15485,"Feb","2017","WV"
"183","HANCOCK",23617,"Feb","2017","WV"
"184","HARDY",9304,"Feb","2017","WV"
"185","HARRISON",44010,"Feb","2017","WV"
"186","JACKSON",22327,"Feb","2017","WV"
"187","JEFFERSON",36966,"Feb","2017","WV"
"188","KANAWHA",141597,"Feb","2017","WV"
"189","LEWIS",9523,"Feb","2017","WV"
"190","LINCOLN",13038,"Feb","2017","WV"
"191","LOGAN",26349,"Feb","2017","WV"
"192","MARION",40625,"Feb","2017","WV"
"193","MARSHALL",20702,"Feb","2017","WV"
"194","MASON",18094,"Feb","2017","WV"
"195","MCDOWELL",17470,"Feb","2017","WV"
"196","MERCER",41427,"Feb","2017","WV"
"197","MINERAL",19321,"Feb","2017","WV"
"198","MINGO",19527,"Feb","2017","WV"
"199","MONONGALIA",66366,"Feb","2017","WV"
"200","MONROE",10903,"Feb","2017","WV"
"201","MORGAN",13175,"Feb","2017","WV"
"202","NICHOLAS",15465,"Feb","2017","WV"
