"","county","count","month","year","state"
"1","ALBANY",18979,"January","2017","WY"
"2","BIG HORN",6082,"January","2017","WY"
"3","CAMPBELL",20217,"January","2017","WY"
"4","CARBON",7276,"January","2017","WY"
"5","CONVERSE",7182,"January","2017","WY"
"6","CROOK",4250,"January","2017","WY"
"7","FREMONT",18925,"January","2017","WY"
"8","GOSHEN",6450,"January","2017","WY"
"9","HOT SPRINGS",2897,"January","2017","WY"
"10","JOHNSON",4888,"January","2017","WY"
"11","LARAMIE",45233,"January","2017","WY"
"12","LINCOLN",9964,"January","2017","WY"
"13","NATRONA",36905,"January","2017","WY"
"14","NIOBRARA",1489,"January","2017","WY"
"15","PARK",16693,"January","2017","WY"
"16","PLATTE",5053,"January","2017","WY"
"17","SHERIDAN",15940,"January","2017","WY"
"18","SUBLETTE",4934,"January","2017","WY"
"19","SWEETWATER",18732,"January","2017","WY"
"20","TETON",14316,"January","2017","WY"
"21","UINTA",9584,"January","2017","WY"
"22","WASHAKIE",4298,"January","2017","WY"
"23","WESTON",3916,"January","2017","WY"
"24","ALBANY",17317,"February","2017","WY"
"25","BIG HORN",6078,"February","2017","WY"
"26","CAMPBELL",20206,"February","2017","WY"
"27","CARBON",7274,"February","2017","WY"
"28","CONVERSE",6764,"February","2017","WY"
"29","CROOK",3933,"February","2017","WY"
"30","FREMONT",18838,"February","2017","WY"
"31","GOSHEN",6016,"February","2017","WY"
"32","HOT SPRINGS",2860,"February","2017","WY"
"33","JOHNSON",4888,"February","2017","WY"
"34","LARAMIE",44916,"February","2017","WY"
"35","LINCOLN",9964,"February","2017","WY"
"36","NATRONA",36845,"February","2017","WY"
"37","NIOBRARA",1485,"February","2017","WY"
"38","PARK",15642,"February","2017","WY"
"39","PLATTE",5048,"February","2017","WY"
"40","SHERIDAN",15929,"February","2017","WY"
"41","SUBLETTE",4522,"February","2017","WY"
"42","SWEETWATER",18702,"February","2017","WY"
"43","TETON",14323,"February","2017","WY"
"44","UINTA",9582,"February","2017","WY"
"45","WASHAKIE",4273,"February","2017","WY"
"46","WESTON",3648,"February","2017","WY"
"47","ALBANY",17326,"March","2017","WY"
"48","BIG HORN",5551,"March","2017","WY"
"49","CAMPBELL",18651,"March","2017","WY"
"50","CARBON",6599,"March","2017","WY"
"51","CONVERSE",6761,"March","2017","WY"
"52","CROOK",3935,"March","2017","WY"
"53","FREMONT",17465,"March","2017","WY"
"54","GOSHEN",6010,"March","2017","WY"
"55","HOT SPRINGS",2679,"March","2017","WY"
"56","JOHNSON",4592,"March","2017","WY"
"57","LARAMIE",41970,"March","2017","WY"
"58","LINCOLN",9147,"March","2017","WY"
"59","NATRONA",33970,"March","2017","WY"
"60","NIOBRARA",1351,"March","2017","WY"
