"","year","month","fips_code","n"
"1",2017,"January",1015,2
"2",2017,"January",1049,1
"3",2017,"January",1073,5
"4",2017,"January",1089,4
"5",2017,"January",1097,6
"6",2017,"January",1125,3
"7",2017,"January",2016,2
"8",2017,"January",2020,8
"9",2017,"January",2050,1
"10",2017,"January",2063,2
"11",2017,"January",2090,2
"12",2017,"January",2100,2
"13",2017,"January",2105,4
"14",2017,"January",2110,4
"15",2017,"January",2122,6
"16",2017,"January",2130,2
"17",2017,"January",2150,2
"18",2017,"January",2170,3
"19",2017,"January",2180,2
"20",2017,"January",2185,1
"21",2017,"January",2188,1
"22",2017,"January",2195,1
"23",2017,"January",2220,2
"24",2017,"January",2261,2
"25",2017,"January",4003,4
"26",2017,"January",4005,9
"27",2017,"January",4013,12
"28",2017,"January",4015,1
"29",2017,"January",4017,1
"30",2017,"January",4019,25
"31",2017,"January",4021,1
"32",2017,"January",4025,3
"33",2017,"January",4027,1
"34",2017,"January",5007,4
"35",2017,"January",5045,2
"36",2017,"January",5107,1
"37",2017,"January",5119,8
"38",2017,"January",5143,2
"39",2017,"January",6001,21
"40",2017,"January",6007,2
"41",2017,"January",6013,2
"42",2017,"January",6017,2
"43",2017,"January",6019,11
"44",2017,"January",6023,2
"45",2017,"January",6025,2
"46",2017,"January",6027,2
"47",2017,"January",6029,4
"48",2017,"January",6033,1
"49",2017,"January",6035,1
"50",2017,"January",6037,40
"51",2017,"January",6039,2
"52",2017,"January",6041,8
"53",2017,"January",6045,7
"54",2017,"January",6051,1
"55",2017,"January",6053,5
"56",2017,"January",6055,2
"57",2017,"January",6057,4
"58",2017,"January",6059,9
"59",2017,"January",6061,2
"60",2017,"January",6063,2
"61",2017,"January",6065,8
"62",2017,"January",6067,11
"63",2017,"January",6071,8
"64",2017,"January",6073,30
"65",2017,"January",6075,18
"66",2017,"January",6079,4
"67",2017,"January",6081,4
"68",2017,"January",6083,6
"69",2017,"January",6085,18
"70",2017,"January",6087,4
"71",2017,"January",6089,2
"72",2017,"January",6093,2
"73",2017,"January",6095,2
"74",2017,"January",6097,7
"75",2017,"January",6099,2
"76",2017,"January",6107,2
"77",2017,"January",6111,2
"78",2017,"January",6113,5
"79",2017,"January",8003,2
"80",2017,"January",8013,11
"81",2017,"January",8014,2
"82",2017,"January",8015,1
"83",2017,"January",8029,2
"84",2017,"January",8031,16
"85",2017,"January",8037,1
"86",2017,"January",8041,5
"87",2017,"January",8045,4
"88",2017,"January",8051,2
"89",2017,"January",8059,3
"90",2017,"January",8067,3
"91",2017,"January",8069,11
"92",2017,"January",8077,2
"93",2017,"January",8083,2
"94",2017,"January",8091,2
"95",2017,"January",8093,1
"96",2017,"January",8097,2
"97",2017,"January",8107,2
"98",2017,"January",8109,1
"99",2017,"January",8111,1
"100",2017,"January",8113,2
"101",2017,"January",9001,12
"102",2017,"January",9003,9
"103",2017,"January",9005,7
"104",2017,"January",9007,4
"105",2017,"January",9009,8
