"year","month","fips_code","n"
2017,"January",1015,2
2017,"January",1049,1
2017,"January",1073,5
2017,"January",1089,4
2017,"January",1097,2
2017,"January",1125,3
2017,"January",2016,2
2017,"January",2020,8
2017,"January",2050,1
2017,"January",2063,2
2017,"January",2090,2
2017,"January",2100,2
2017,"January",2105,4
2017,"January",2110,4
2017,"January",2122,6
2017,"January",2130,2
2017,"January",2150,2
2017,"January",2170,3
2017,"January",2180,2
2017,"January",2185,1
2017,"January",2188,1
2017,"January",2195,1
2017,"January",2220,2
2017,"January",2261,2
2017,"January",4003,4
2017,"January",4005,9
2017,"January",4013,12
2017,"January",4015,1
2017,"January",4017,1
2017,"January",4019,25
2017,"January",4021,1
2017,"January",4025,3
2017,"January",4027,1
2017,"January",5007,4
2017,"January",5045,2
2017,"January",5107,1
2017,"January",5119,8
2017,"January",5143,2
2017,"January",6001,21
2017,"January",6007,2
2017,"January",6013,2
2017,"January",6017,2
2017,"January",6019,11
2017,"January",6023,2
2017,"January",6025,2
2017,"January",6027,2
2017,"January",6029,4
2017,"January",6033,1
2017,"January",6035,1
2017,"January",6037,36
2017,"January",6039,2
2017,"January",6041,8
2017,"January",6045,7
2017,"January",6051,1
2017,"January",6053,5
2017,"January",6055,2
2017,"January",6057,4
2017,"January",6059,9
2017,"January",6061,2
2017,"January",6063,2
2017,"January",6065,8
2017,"January",6067,11
2017,"January",6071,8
2017,"January",6073,30
2017,"January",6075,18
2017,"January",6079,4
2017,"January",6081,4
2017,"January",6083,6
2017,"January",6085,18
2017,"January",6087,4
2017,"January",6089,2
2017,"January",6093,2
2017,"January",6095,2
2017,"January",6097,7
2017,"January",6099,2
2017,"January",6107,2
2017,"January",6111,2
2017,"January",6113,5
2017,"January",8003,2
2017,"January",8013,7
2017,"January",8014,2
2017,"January",8015,1
2017,"January",8029,2
2017,"January",8031,16
2017,"January",8037,1
2017,"January",8041,5
2017,"January",8045,4
2017,"January",8051,2
2017,"January",8059,3
2017,"January",8067,3
2017,"January",8069,11
2017,"January",8077,2
2017,"January",8083,2
2017,"January",8091,2
2017,"January",8093,1
2017,"January",8097,2
2017,"January",8107,2
2017,"January",8109,1
2017,"January",8111,1
2017,"January",8113,2
2017,"January",9001,12
2017,"January",9003,9
2017,"January",9005,7
2017,"January",9007,4
2017,"January",9009,8
2017,"January",10003,3
2017,"January",10005,4
2017,"January",11001,65
2017,"January",12001,4
2017,"January",12005,2
2017,"January",12009,6
2017,"January",12011,3
2017,"January",12017,1
2017,"January",12021,2
2017,"January",12031,5
2017,"January",12033,5
2017,"January",12057,8
2017,"January",12073,7
2017,"January",12083,2
2017,"January",12086,14
2017,"January",12087,5
2017,"January",12089,4
2017,"January",12095,7
2017,"January",12099,2
2017,"January",12103,2
2017,"January",12109,2
2017,"January",12115,2
2017,"January",12127,4
2017,"January",13031,2
2017,"January",13051,4
2017,"January",13059,2
2017,"January",13121,11
2017,"January",13231,1
2017,"January",13245,2
2017,"January",15001,9
2017,"January",15003,5
2017,"January",15007,3
2017,"January",15009,5
2017,"January",16001,8
2017,"January",16005,2
2017,"January",16013,2
2017,"January",16017,2
2017,"January",16019,2
2017,"January",16037,1
2017,"January",16057,2
2017,"January",16081,2
2017,"January",16085,2
2017,"January",17019,2
2017,"January",17031,11
2017,"January",17077,2
2017,"January",17089,2
2017,"January",17095,2
2017,"January",17097,2
2017,"January",17119,1
2017,"January",17143,2
2017,"January",17167,2
2017,"January",17201,2
2017,"January",18003,2
2017,"January",18031,1
2017,"January",18081,1
2017,"January",18093,1
2017,"January",18097,9
2017,"January",18105,3
2017,"January",18117,1
2017,"January",18127,2
2017,"January",18141,5
2017,"January",18151,1
2017,"January",18157,2
2017,"January",18163,1
2017,"January",18167,3
2017,"January",19053,1
2017,"January",19061,5
2017,"January",19101,2
2017,"January",19103,12
2017,"January",19113,3
2017,"January",19153,10
2017,"January",19163,2
2017,"January",19191,2
2017,"January",20173,7
2017,"January",20177,5
2017,"January",21015,3
2017,"January",21035,2
2017,"January",21059,1
2017,"January",21067,2
2017,"January",21111,8
2017,"January",21195,2
2017,"January",21227,2
2017,"January",22017,2
2017,"January",22071,7
2017,"January",23003,1
2017,"January",23005,7
2017,"January",23007,4
2017,"January",23009,4
2017,"January",23011,2
2017,"January",23013,2
2017,"January",23015,1
2017,"January",23017,1
2017,"January",23019,7
2017,"January",23029,3
2017,"January",23031,4
2017,"January",24003,2
2017,"January",24021,2
2017,"January",24023,1
2017,"January",24027,4
2017,"January",24033,1
2017,"January",24037,1
2017,"January",24045,2
2017,"January",24047,2
2017,"January",24510,13
2017,"January",25001,9
2017,"January",25003,2
2017,"January",25007,5
2017,"January",25011,4
2017,"January",25013,1
2017,"January",25015,7
2017,"January",25019,2
2017,"January",25023,1
2017,"January",25025,21
2017,"January",25027,2
2017,"January",26001,1
2017,"January",26005,4
2017,"January",26021,1
2017,"January",26029,1
2017,"January",26033,1
2017,"January",26035,1
2017,"January",26055,4
2017,"January",26061,2
2017,"January",26065,2
2017,"January",26077,2
2017,"January",26081,8
2017,"January",26083,1
2017,"January",26091,3
2017,"January",26093,2
2017,"January",26103,2
2017,"January",26111,2
2017,"January",26115,2
2017,"January",26127,1
2017,"January",26145,1
2017,"January",26161,12
2017,"January",26163,13
2017,"January",27007,2
2017,"January",27013,11
2017,"January",27021,1
2017,"January",27031,2
2017,"January",27053,10
2017,"January",27059,1
2017,"January",27083,1
2017,"January",27109,5
2017,"January",27123,10
2017,"January",27137,3
2017,"January",27141,1
2017,"January",27149,2
2017,"January",28035,1
2017,"January",28047,2
2017,"January",28049,2
2017,"January",28071,2
2017,"January",29019,5
2017,"January",29051,1
2017,"January",29077,6
2017,"January",29091,2
2017,"January",29095,4
2017,"January",29097,2
2017,"January",29510,8
2017,"January",30017,2
2017,"January",30029,3
2017,"January",30031,1
2017,"January",30049,2
2017,"January",30063,9
2017,"January",30111,2
2017,"January",31013,2
2017,"January",31055,5
2017,"January",31109,7
2017,"January",31131,1
2017,"January",31163,2
2017,"January",32003,12
2017,"January",32007,1
2017,"January",32031,7
2017,"January",33003,3
2017,"January",33005,5
2017,"January",33007,2
2017,"January",33009,5
2017,"January",33011,11
2017,"January",33013,2
2017,"January",33015,2
2017,"January",33017,2
2017,"January",34003,15
2017,"January",34005,3
2017,"January",34007,4
2017,"January",34013,7
2017,"January",34017,5
2017,"January",34021,2
2017,"January",34023,3
2017,"January",34025,4
2017,"January",34027,3
2017,"January",34039,5
2017,"January",35001,5
2017,"January",35005,1
2017,"January",35006,1
2017,"January",35011,1
2017,"January",35013,2
2017,"January",35017,3
2017,"January",35029,1
2017,"January",35033,1
2017,"January",35041,1
2017,"January",35047,1
2017,"January",35049,4
2017,"January",35051,2
2017,"January",35055,2
2017,"January",36001,15
2017,"January",36007,2
2017,"January",36013,1
2017,"January",36019,2
2017,"January",36021,2
2017,"January",36025,1
2017,"January",36027,2
2017,"January",36029,11
2017,"January",36031,4
2017,"January",36033,1
2017,"January",36045,2
2017,"January",36047,3
2017,"January",36055,5
2017,"January",36061,20
2017,"January",36065,2
2017,"January",36067,17
2017,"January",36071,2
2017,"January",36077,4
2017,"January",36081,3
2017,"January",36089,3
2017,"January",36095,2
2017,"January",36099,2
2017,"January",36103,8
2017,"January",36109,10
2017,"January",36111,2
2017,"January",36113,2
2017,"January",36119,4
2017,"January",37001,1
2017,"January",37009,2
2017,"January",37021,10
2017,"January",37023,2
2017,"January",37031,1
2017,"January",37049,2
2017,"January",37067,1
2017,"January",37081,8
2017,"January",37095,2
2017,"January",37097,1
2017,"January",37119,8
2017,"January",37129,5
2017,"January",37135,5
2017,"January",37147,2
2017,"January",37183,5
2017,"January",37199,1
2017,"January",38015,2
2017,"January",38017,2
2017,"January",38035,2
2017,"January",38085,3
2017,"January",39009,2
2017,"January",39023,1
2017,"January",39027,1
2017,"January",39035,5
2017,"January",39041,2
2017,"January",39049,10
2017,"January",39057,2
2017,"January",39061,5
2017,"January",39083,1
2017,"January",39095,2
2017,"January",39109,2
2017,"January",39113,5
2017,"January",39115,1
2017,"January",39123,2
2017,"January",39133,2
2017,"January",39141,2
2017,"January",39169,2
2017,"January",39173,2
2017,"January",40027,3
2017,"January",40109,2
2017,"January",40119,2
2017,"January",40143,2
2017,"January",41001,1
2017,"January",41003,2
2017,"January",41005,2
2017,"January",41007,5
2017,"January",41011,3
2017,"January",41015,4
2017,"January",41017,2
2017,"January",41019,1
2017,"January",41025,1
2017,"January",41027,2
2017,"January",41029,2
2017,"January",41033,1
2017,"January",41035,2
2017,"January",41039,12
2017,"January",41041,2
2017,"January",41047,5
2017,"January",41051,21
2017,"January",41057,2
2017,"January",41059,2
2017,"January",41061,2
2017,"January",41063,3
2017,"January",41065,2
2017,"January",41071,2
2017,"January",42003,13
2017,"January",42007,2
2017,"January",42011,2
2017,"January",42013,1
2017,"January",42015,1
2017,"January",42017,4
2017,"January",42021,1
2017,"January",42027,6
2017,"January",42029,2
2017,"January",42031,1
2017,"January",42037,1
2017,"January",42043,7
2017,"January",42049,5
2017,"January",42063,2
2017,"January",42071,5
2017,"January",42075,1
2017,"January",42079,3
2017,"January",42085,2
2017,"January",42091,1
2017,"January",42095,5
2017,"January",42101,18
2017,"January",42109,2
2017,"January",42119,2
2017,"January",44003,3
2017,"January",44005,10
2017,"January",44007,8
2017,"January",44009,1
2017,"January",45019,7
2017,"January",45045,5
2017,"January",45077,2
2017,"January",45079,5
2017,"January",46005,1
2017,"January",46027,2
2017,"January",46065,2
2017,"January",46099,2
2017,"January",46103,4
2017,"January",47001,12
2017,"January",47037,11
2017,"January",47065,4
2017,"January",47093,2
2017,"January",47141,3
2017,"January",47149,1
2017,"January",47157,2
2017,"January",47179,2
2017,"January",48029,5
2017,"January",48041,4
2017,"January",48043,1
2017,"January",48061,2
2017,"January",48113,8
2017,"January",48121,2
2017,"January",48141,4
2017,"January",48183,2
2017,"January",48201,13
2017,"January",48245,2
2017,"January",48303,2
2017,"January",48323,1
2017,"January",48329,1
2017,"January",48347,2
2017,"January",48355,1
2017,"January",48361,2
2017,"January",48375,2
2017,"January",48377,3
2017,"January",48439,2
2017,"January",48441,2
2017,"January",48453,14
2017,"January",48485,2
2017,"January",49005,1
2017,"January",49019,2
2017,"January",49025,2
2017,"January",49035,10
2017,"January",49037,1
2017,"January",49043,5
2017,"January",49053,3
2017,"January",49057,2
2017,"January",50003,3
2017,"January",50005,1
2017,"January",50007,8
2017,"January",50019,1
2017,"January",50021,4
2017,"January",50023,5
2017,"January",50025,2
2017,"January",51001,1
2017,"January",51013,4
2017,"January",51059,1
2017,"January",51063,2
2017,"January",51107,9
2017,"January",51171,2
2017,"January",51510,1
2017,"January",51540,11
2017,"January",51600,2
2017,"January",51710,10
2017,"January",51760,11
2017,"January",51770,2
2017,"January",51790,5
2017,"January",51810,3
2017,"January",51830,2
2017,"January",51840,2
2017,"January",53005,2
2017,"January",53007,5
2017,"January",53009,5
2017,"January",53011,2
2017,"January",53015,2
2017,"January",53025,2
2017,"January",53027,2
2017,"January",53029,2
2017,"January",53031,2
2017,"January",53033,18
2017,"January",53035,3
2017,"January",53037,2
2017,"January",53045,1
2017,"January",53047,2
2017,"January",53053,3
2017,"January",53055,7
2017,"January",53057,4
2017,"January",53063,5
2017,"January",53067,10
2017,"January",53069,1
