"","year","month","fips_code","score"
"1",2017,"January",11001,1
"2",2017,"January",27013,2
"3",2017,"January",27053,3
"4",2017,"January",44005,2
"5",2017,"January",47001,2
"6",2017,"January",11001,1
"7",2017,"January",36001,2
"8",2017,"January",11001,1
"9",2017,"January",12086,2
"10",2017,"January",41007,3
"11",2017,"January",42101,2
"12",2017,"January",11001,1
"13",2017,"January",24510,2
"14",2017,"January",26161,3
"15",2017,"January",38085,3
"16",2017,"January",34003,2
"17",2017,"January",36061,2
"18",2017,"January",4019,2
"19",2017,"January",6079,2
"20",2017,"January",11001,1
"21",2017,"January",4019,2
"22",2017,"January",11001,2
"23",2017,"January",11001,1
"24",2017,"January",19103,2
"25",2017,"January",36067,2
"26",2017,"January",41051,2
"27",2017,"January",51107,2
"28",2017,"January",11001,1
"29",2017,"January",17097,2
"30",2017,"January",36109,2
"31",2017,"January",11001,1
"32",2017,"January",27013,2
"33",2017,"January",44005,2
"34",2017,"January",47001,2
"35",2017,"January",6037,2
"36",2017,"January",11001,1
"37",2017,"January",36001,2
"38",2017,"January",48377,2
"39",2017,"January",51013,3
"40",2017,"January",6073,3
"41",2017,"January",6073,2
"42",2017,"January",11001,1
"43",2017,"January",42101,2
"44",2017,"January",8059,3
"45",2017,"January",11001,1
"46",2017,"January",24510,2
"47",2017,"January",34003,2
"48",2017,"January",35049,2
"49",2017,"January",36119,2
"50",2017,"January",36047,3
"51",2017,"January",36061,2
"52",2017,"January",39173,2
"53",2017,"January",44007,3
"54",2017,"January",4019,2
"55",2017,"January",6037,2
"56",2017,"January",11001,1
"57",2017,"January",41051,1
"58",2017,"January",4019,2
"59",2017,"January",6001,2
"60",2017,"January",6075,3
"61",2017,"January",9001,3
"62",2017,"January",11001,1
"63",2017,"January",19103,2
"64",2017,"January",36067,2
"65",2017,"January",41051,2
"66",2017,"January",6113,3
"67",2017,"January",11001,1
"68",2017,"January",25025,2
"69",2017,"January",36109,2
"70",2017,"January",51600,2
"71",2017,"January",11001,1
"72",2017,"January",25025,3
"73",2017,"January",27013,2
"74",2017,"January",36061,3
"75",2017,"January",44005,2
"76",2017,"January",47001,2
"77",2017,"January",51540,3
"78",2017,"January",6001,3
"79",2017,"January",6067,3
"80",2017,"January",8069,3
"81",2017,"January",32003,3
"82",2017,"January",11001,1
"83",2017,"January",12073,2
"84",2017,"January",18097,2
"85",2017,"January",30029,2
"86",2017,"January",37119,3
"87",2017,"January",36001,2
"88",2017,"January",36061,2
"89",2017,"January",41039,3
"90",2017,"January",41047,3
"91",2017,"January",37021,3
"92",2017,"January",47157,3
"93",2017,"January",48183,2
