"year","month","fips_code","score"
2017,"January",11001,1
2017,"January",27013,2
2017,"January",44005,2
2017,"January",47001,2
2017,"January",11001,1
2017,"January",36001,2
2017,"January",11001,1
2017,"January",12086,2
2017,"January",41007,3
2017,"January",42101,2
2017,"January",11001,1
2017,"January",24510,2
2017,"January",26161,3
2017,"January",38085,3
2017,"January",34003,2
2017,"January",36061,2
2017,"January",4019,2
2017,"January",6079,2
2017,"January",11001,1
2017,"January",4019,2
2017,"January",11001,2
2017,"January",11001,1
2017,"January",19103,2
2017,"January",36067,2
2017,"January",41051,2
2017,"January",51107,2
2017,"January",11001,1
2017,"January",17097,2
2017,"January",36109,2
2017,"January",11001,1
2017,"January",27013,2
2017,"January",44005,2
2017,"January",47001,2
2017,"January",6037,2
2017,"January",11001,1
2017,"January",36001,2
2017,"January",48377,2
2017,"January",51013,3
2017,"January",6073,3
2017,"January",6073,2
2017,"January",11001,1
2017,"January",42101,2
2017,"January",8059,3
2017,"January",11001,1
2017,"January",24510,2
2017,"January",34003,2
2017,"January",35049,2
2017,"January",36119,2
2017,"January",36047,3
2017,"January",36061,2
2017,"January",39173,2
2017,"January",44007,3
2017,"January",4019,2
2017,"January",6037,2
2017,"January",11001,1
2017,"January",41051,1
2017,"January",4019,2
2017,"January",6001,2
2017,"January",6075,3
2017,"January",9001,3
2017,"January",11001,1
2017,"January",19103,2
2017,"January",36067,2
2017,"January",41051,2
2017,"January",6113,3
2017,"January",11001,1
2017,"January",25025,2
2017,"January",36109,2
2017,"January",51600,2
2017,"January",11001,1
2017,"January",25025,3
2017,"January",27013,2
2017,"January",36061,3
2017,"January",44005,2
2017,"January",47001,2
2017,"January",51540,3
2017,"January",6001,3
2017,"January",6067,3
2017,"January",8069,3
2017,"January",32003,3
2017,"January",11001,1
2017,"January",12073,2
2017,"January",18097,2
2017,"January",30029,2
2017,"January",37119,3
2017,"January",36001,2
2017,"January",36061,2
2017,"January",41039,3
2017,"January",41047,3
2017,"January",37021,3
2017,"January",48183,2
2017,"January",48361,2
2017,"January",53067,3
2017,"January",53033,3
2017,"January",11001,1
2017,"January",29077,2
2017,"January",36061,2
2017,"January",36061,2
2017,"January",42079,3
2017,"January",42101,2
2017,"January",51760,3
2017,"January",4013,3
2017,"January",6067,3
2017,"January",6097,3
2017,"January",11001,1
2017,"January",24510,2
2017,"January",34005,2
2017,"January",34003,2
2017,"January",50007,2
2017,"January",4019,2
2017,"January",6037,2
2017,"January",6037,3
2017,"January",9001,2
2017,"January",11001,3
2017,"January",11001,3
2017,"January",11001,1
2017,"January",17031,3
2017,"January",4013,2
2017,"January",4019,2
2017,"January",6037,3
2017,"January",6085,2
2017,"January",6085,1
2017,"January",6085,2
2017,"January",11001,2
2017,"January",11001,2
2017,"January",11001,2
2017,"January",11001,2
2017,"January",11001,1
2017,"January",15001,2
2017,"January",19103,2
2017,"January",17031,3
2017,"January",25025,2
2017,"January",23007,2
2017,"January",36061,2
2017,"January",36067,2
2017,"January",41051,2
2017,"January",41051,2
2017,"January",53073,2
2017,"January",2016,1
2017,"January",2020,2
2017,"January",2050,1
2017,"January",2261,2
2017,"January",2090,2
2017,"January",2105,2
2017,"January",2100,2
2017,"January",2122,2
2017,"January",2110,2
2017,"January",2130,2
2017,"January",2150,2
2017,"January",2188,1
2017,"January",2180,1
2017,"January",2170,2
2017,"January",2195,1
2017,"January",2122,1
2017,"January",2122,1
2017,"January",2220,2
2017,"January",2105,2
2017,"January",2122,2
2017,"January",2170,1
2017,"January",2180,1
2017,"January",2016,1
2017,"January",2185,1
2017,"January",2063,2
2017,"January",1073,2
2017,"January",1089,1
2017,"January",1049,1
2017,"January",1097,2
2017,"January",5007,2
2017,"January",5143,2
2017,"January",5107,1
2017,"January",5119,2
2017,"January",4019,2
2017,"January",4005,2
2017,"January",4021,1
2017,"January",4019,2
2017,"January",4025,1
2017,"January",4015,1
2017,"January",4013,2
2017,"January",4025,2
2017,"January",4005,2
2017,"January",4017,1
2017,"January",4019,2
2017,"January",4027,1
2017,"January",6001,1
2017,"January",6001,2
2017,"January",6063,1
2017,"January",6037,1
2017,"January",6029,2
2017,"January",6001,2
2017,"January",6037,2
2017,"January",6027,2
2017,"January",6073,2
2017,"January",6037,2
2017,"January",6053,1
2017,"January",6007,2
2017,"January",6033,1
2017,"January",6037,1
2017,"January",6025,2
2017,"January",6073,1
2017,"January",6023,2
2017,"January",6041,2
2017,"January",6045,2
2017,"January",6019,2
2017,"January",6045,2
2017,"January",6065,1
2017,"January",6075,1
2017,"January",6065,1
2017,"January",6041,1
2017,"January",6083,2
2017,"January",6051,1
2017,"January",6061,2
2017,"January",6059,2
2017,"January",6083,2
2017,"January",6037,2
2017,"January",6053,1
2017,"January",6099,2
2017,"January",NA,1
2017,"January",6093,2
2017,"January",6055,2
2017,"January",6057,2
2017,"January",6039,2
2017,"January",6001,2
2017,"January",6071,2
2017,"January",6059,1
2017,"January",6081,2
2017,"January",6065,2
2017,"January",6065,2
2017,"January",6037,1
2017,"January",6037,2
2017,"January",6041,1
2017,"January",6063,1
2017,"January",6089,2
2017,"January",6037,2
2017,"January",6081,2
2017,"January",6029,2
2017,"January",6065,2
2017,"January",6067,2
2017,"January",6053,1
2017,"January",6041,1
2017,"January",6071,1
2017,"January",6059,2
2017,"January",6073,2
2017,"January",6075,2
2017,"January",6085,2
2017,"January",6001,1
2017,"January",6079,2
2017,"January",6073,2
2017,"January",6041,2
2017,"January",6059,2
2017,"January",6083,2
2017,"January",6087,2
2017,"January",6097,2
2017,"January",6041,1
2017,"January",6053,2
2017,"January",6097,2
2017,"January",6017,2
2017,"January",6057,2
2017,"January",6045,2
2017,"January",6095,2
2017,"January",6111,2
2017,"January",6107,2
2017,"January",6013,2
2017,"January",6087,2
2017,"January",6035,1
2017,"January",6045,1
2017,"January",6113,2
2017,"January",6071,2
2017,"January",8003,2
2017,"January",8097,2
2017,"January",8093,1
2017,"January",8067,1
2017,"January",8014,2
2017,"January",8045,2
2017,"January",8029,1
2017,"January",8041,2
2017,"January",8083,2
2017,"January",8051,2
2017,"January",8109,1
2017,"January",8031,2
2017,"January",8067,2
2017,"January",8069,2
2017,"January",8045,2
2017,"January",8077,2
2017,"January",8013,1
2017,"January",8013,1
2017,"January",8037,1
2017,"January",8013,1
2017,"January",8029,1
2017,"January",8091,2
2017,"January",8015,1
2017,"January",8111,1
2017,"January",8107,2
2017,"January",8113,2
2017,"January",9005,1
2017,"January",9007,2
2017,"January",9009,1
2017,"January",9003,2
2017,"January",9005,2
2017,"January",9005,1
2017,"January",9009,2
2017,"January",9009,2
2017,"January",9007,2
2017,"January",9005,1
2017,"January",9005,2
2017,"January",9001,2
2017,"January",11001,1
2017,"January",11001,2
2017,"January",10003,1
2017,"January",10005,2
2017,"January",10005,2
2017,"January",10003,2
2017,"January",12089,2
2017,"January",12017,1
2017,"January",12127,2
2017,"January",12009,1
2017,"January",12089,2
2017,"January",12001,2
2017,"January",12001,2
2017,"January",12031,2
2017,"January",12087,2
2017,"January",12009,2
2017,"January",12086,2
2017,"January",12086,1
2017,"January",12021,2
2017,"January",12127,2
2017,"January",12083,2
2017,"January",12095,2
2017,"January",12005,2
2017,"January",12033,2
2017,"January",12115,2
2017,"January",12109,2
2017,"January",12103,2
2017,"January",12073,2
2017,"January",12099,2
2017,"January",13059,2
2017,"January",13121,2
2017,"January",13245,2
2017,"January",13051,2
2017,"January",13031,2
2017,"January",13231,1
2017,"January",66000,2
2017,"January",15009,1
2017,"January",15001,2
2017,"January",15003,2
2017,"January",15009,2
2017,"January",15007,1
2017,"January",15009,2
2017,"January",15001,1
2017,"January",15001,2
2017,"January",15007,2
2017,"January",19163,2
2017,"January",19191,2
2017,"January",19153,2
2017,"January",19061,2
2017,"January",19101,2
2017,"January",19103,2
2017,"January",19053,1
2017,"January",16001,2
2017,"January",16081,2
2017,"January",16019,2
2017,"January",16013,2
2017,"January",16085,2
2017,"January",16057,2
2017,"January",16005,2
2017,"January",16017,2
2017,"January",16037,1
2017,"January",17077,2
2017,"January",17019,2
2017,"January",17031,2
2017,"January",17089,2
2017,"January",17095,2
2017,"January",17119,1
2017,"January",17143,2
2017,"January",17201,2
2017,"January",17167,2
2017,"January",18151,1
2017,"January",18163,1
2017,"January",18003,2
2017,"January",18031,1
2017,"January",18081,1
2017,"January",18097,2
2017,"January",18157,2
2017,"January",18093,1
2017,"January",18117,1
2017,"January",18141,2
2017,"January",18167,2
2017,"January",18167,1
2017,"January",18127,2
2017,"January",20177,2
2017,"January",20173,2
2017,"January",21067,2
2017,"January",21111,2
2017,"January",21035,2
2017,"January",21059,1
2017,"January",21195,2
2017,"January",22071,2
2017,"January",22017,2
2017,"January",25025,2
2017,"January",25023,1
2017,"January",25001,2
2017,"January",25011,2
2017,"January",25011,1
2017,"January",25001,2
2017,"January",25007,2
2017,"January",25019,2
2017,"January",25015,2
2017,"January",25003,2
2017,"January",25001,2
2017,"January",25027,1
2017,"January",25013,1
2017,"January",25007,2
2017,"January",25007,1
2017,"January",25001,2
2017,"January",25001,1
2017,"January",25027,1
2017,"January",24023,1
2017,"January",24003,2
2017,"January",24510,2
2017,"January",NA,1
2017,"January",24027,2
2017,"January",24021,2
2017,"January",24027,2
2017,"January",24047,2
2017,"January",24037,1
2017,"January",24033,1
2017,"January",23011,2
2017,"January",23009,1
2017,"January",23005,2
2017,"January",23019,1
2017,"January",23029,2
2017,"January",23009,1
2017,"January",23009,1
2017,"January",23003,1
2017,"January",23031,2
2017,"January",23017,1
2017,"January",23029,1
2017,"January",23015,1
2017,"January",23005,2
2017,"January",23031,2
2017,"January",23009,1
2017,"January",23013,1
2017,"January",23013,1
2017,"January",26091,2
2017,"January",26161,2
2017,"January",26161,1
2017,"January",26029,1
2017,"January",26093,2
2017,"January",26035,1
2017,"January",26083,1
2017,"January",26163,2
2017,"January",26005,2
2017,"January",26081,2
2017,"January",26163,2
2017,"January",26001,1
2017,"January",26061,2
2017,"January",26077,2
2017,"January",26065,2
2017,"January",26103,2
2017,"January",26145,1
2017,"January",26111,2
2017,"January",26127,1
2017,"January",26005,2
2017,"January",26033,1
2017,"January",26021,1
2017,"January",26091,1
2017,"January",26055,2
2017,"January",26161,2
2017,"January",27007,2
2017,"January",27059,1
2017,"January",27137,2
2017,"January",27137,1
2017,"January",27031,2
2017,"January",27021,1
2017,"January",27013,1
2017,"January",27083,1
2017,"January",27053,1
2017,"January",27149,2
2017,"January",27109,2
2017,"January",27123,2
2017,"January",27141,1
2017,"January",29019,2
2017,"January",29051,1
2017,"January",29095,2
2017,"January",29077,2
2017,"January",29510,2
2017,"January",29091,1
2017,"January",29091,1
2017,"January",28047,2
2017,"January",28035,1
2017,"January",28049,2
2017,"January",28071,2
2017,"January",30031,1
2017,"January",30049,2
2017,"January",30017,2
2017,"January",30063,2
2017,"January",30029,1
2017,"January",37021,2
2017,"January",37031,1
2017,"January",37021,2
2017,"January",37199,1
2017,"January",37119,2
2017,"January",37081,2
2017,"January",37147,2
2017,"January",37135,2
2017,"January",37097,1
2017,"January",37023,2
2017,"January",37049,2
2017,"January",37095,2
2017,"January",37183,2
2017,"January",37001,1
2017,"January",37009,2
2017,"January",37129,2
2017,"January",37067,1
2017,"January",38015,2
2017,"January",38017,2
2017,"January",38035,2
2017,"January",31013,2
2017,"January",31109,2
2017,"January",31163,2
2017,"January",31131,1
2017,"January",31055,2
2017,"January",33013,2
2017,"January",33003,1
2017,"January",33011,2
2017,"January",33009,2
2017,"January",33009,2
2017,"January",33003,2
2017,"January",33005,2
2017,"January",33007,2
2017,"January",33009,1
2017,"January",33011,1
2017,"January",33015,2
2017,"January",33011,2
2017,"January",34025,2
2017,"January",34007,2
2017,"January",34003,2
2017,"January",34005,1
2017,"January",34013,2
2017,"January",34027,2
2017,"January",34027,1
2017,"January",34025,2
2017,"January",34007,2
2017,"January",34013,2
2017,"January",34021,2
2017,"January",34013,1
2017,"January",34039,2
2017,"January",34003,2
2017,"January",35001,2
2017,"January",35029,1
2017,"January",35006,1
2017,"January",35011,1
2017,"January",35017,1
2017,"January",35013,2
2017,"January",35047,1
2017,"January",35033,1
2017,"January",35041,1
2017,"January",35005,1
2017,"January",35049,2
2017,"January",35017,2
2017,"January",35055,2
2017,"January",35051,2
2017,"January",32003,2
2017,"January",32031,2
2017,"January",32007,1
2017,"January",36001,2
2017,"January",36007,2
2017,"January",36029,2
2017,"January",36029,2
2017,"January",36089,2
2017,"January",36095,2
2017,"January",36077,2
2017,"January",36025,1
2017,"January",36103,2
2017,"January",36031,1
2017,"January",36013,1
2017,"January",36113,2
