"","GEOID","NAME","total_pop"
"1","01001","Autauga County, Alabama",59285
"2","01003","Baldwin County, Alabama",239945
"3","01005","Barbour County, Alabama",24757
"4","01007","Bibb County, Alabama",22152
"5","01009","Blount County, Alabama",59292
"6","01011","Bullock County, Alabama",10157
"7","01013","Butler County, Alabama",18807
"8","01015","Calhoun County, Alabama",116141
"9","01017","Chambers County, Alabama",34450
"10","01019","Cherokee County, Alabama",25224
"11","01021","Chilton County, Alabama",45500
"12","01023","Choctaw County, Alabama",12525
"13","01025","Clarke County, Alabama",22802
"14","01027","Clay County, Alabama",14188
"15","01029","Cleburne County, Alabama",15254
"16","01031","Coffee County, Alabama",54231
"17","01033","Colbert County, Alabama",57648
"18","01035","Conecuh County, Alabama",11411
"19","01037","Coosa County, Alabama",10323
"20","01039","Covington County, Alabama",37647
"21","01041","Crenshaw County, Alabama",13144
"22","01043","Cullman County, Alabama",89463
"23","01045","Dale County, Alabama",49516
"24","01047","Dallas County, Alabama",37536
"25","01049","DeKalb County, Alabama",71946
"26","01051","Elmore County, Alabama",88669
"27","01053","Escambia County, Alabama",36695
"28","01055","Etowah County, Alabama",103208
"29","01057","Fayette County, Alabama",16173
"30","01059","Franklin County, Alabama",31978
"31","01061","Geneva County, Alabama",26726
"32","01063","Greene County, Alabama",7589
"33","01065","Hale County, Alabama",14749
"34","01067","Henry County, Alabama",17450
"35","01069","Houston County, Alabama",107628
"36","01071","Jackson County, Alabama",52839
"37","01073","Jefferson County, Alabama",669744
"38","01075","Lamar County, Alabama",13809
"39","01077","Lauderdale County, Alabama",95037
"40","01079","Lawrence County, Alabama",33182
"41","01081","Lee County, Alabama",177663
"42","01083","Limestone County, Alabama",107577
"43","01085","Lowndes County, Alabama",10008
"44","01087","Macon County, Alabama",18951
"45","01089","Madison County, Alabama",397135
"46","01091","Marengo County, Alabama",19027
"47","01093","Marion County, Alabama",29190
"48","01095","Marshall County, Alabama",98712
"49","01097","Mobile County, Alabama",413162
"50","01099","Monroe County, Alabama",19580
"51","01101","Montgomery County, Alabama",227197
"52","01103","Morgan County, Alabama",123742
"53","01105","Perry County, Alabama",8231
"54","01107","Pickens County, Alabama",18843
"55","01109","Pike County, Alabama",32953
"56","01111","Randolph County, Alabama",22310
"57","01113","Russell County, Alabama",58858
"58","01115","St. Clair County, Alabama",92903
"59","01117","Shelby County, Alabama",226955
"60","01119","Sumter County, Alabama",12020
"61","01121","Talladega County, Alabama",81170
"62","01123","Tallapoosa County, Alabama",41070
"63","01125","Tuscaloosa County, Alabama",234036
"64","01127","Walker County, Alabama",64886
"65","01129","Washington County, Alabama",15270
"66","01131","Wilcox County, Alabama",10347
"67","01133","Winston County, Alabama",23637
"68","12001","Alachua County, Florida",281751
"69","12003","Baker County, Florida",28186
"70","12005","Bay County, Florida",181368
"71","12007","Bradford County, Florida",27888
"72","12009","Brevard County, Florida",620533
"73","12011","Broward County, Florida",1946127
"74","12013","Calhoun County, Florida",13593
"75","12015","Charlotte County, Florida",195083
"76","12017","Citrus County, Florida",158693
"77","12019","Clay County, Florida",223436
"78","12021","Collier County, Florida",387681
"79","12023","Columbia County, Florida",70755
"80","12027","DeSoto County, Florida",34719
"81","12029","Dixie County, Florida",16952
"82","12031","Duval County, Florida",1007189
"83","12033","Escambia County, Florida",323275
"84","12035","Flagler County, Florida",121710
"85","12037","Franklin County, Florida",12418
"86","12039","Gadsden County, Florida",43642
"87","12041","Gilchrist County, Florida",18494
"88","12043","Glades County, Florida",12324
"89","12045","Gulf County, Florida",14772
"90","12047","Hamilton County, Florida",13445
"91","12049","Hardee County, Florida",25508
"92","12051","Hendry County, Florida",40798
"93","12053","Hernando County, Florida",201512
"94","12055","Highlands County, Florida",103808
"95","12057","Hillsborough County, Florida",1489634
"96","12059","Holmes County, Florida",19626
"97","12061","Indian River County, Florida",163856
"98","12063","Jackson County, Florida",47652
"99","12065","Jefferson County, Florida",14713
"100","12067","Lafayette County, Florida",8035
"101","12069","Lake County, Florida",398696
"102","12071","Lee County, Florida",792692
"103","12073","Leon County, Florida",295335
"104","12075","Levy County, Florida",44276
"105","12077","Liberty County, Florida",7650
"106","12079","Madison County, Florida",18113
"107","12081","Manatee County, Florida",416020
"108","12083","Marion County, Florida",387697
"109","12085","Martin County, Florida",160464
